 job_id  cmax  Mean_waiting_time  Mean_bounded_slowdow  Sum_weighted_completion_time  Competitive_factor  Utilization 
 1 8 0.0 0.8 64.0 1.0 7.309941520467836E-4
 2 81 0.0 0.4 64.0 1.0 7.219695328857122E-5
 3 233 0.0 0.6 9850.0 1.0 1.5686569786411666E-4
 4 589 0.0 0.525 11617.0 1.0 6.57770629176223E-5
 5 727 0.0 0.42000000000000004 11617.0 1.0 5.329118302404337E-5
 6 764 0.0 0.35 11617.0 1.0 5.071032730167478E-5
 7 899 0.0 0.3 11617.0 1.0 4.309531708395944E-5
 8 1145 0.0 0.2625 11617.0 1.0 3.383641053142317E-5
 9 1149 0.0 0.24444444444444446 12766.0 1.0 3.435481654527965E-5
 10 1174 0.0 0.22000000000000003 12766.0 1.0 3.3623240383753254E-5
 11 1380 0.0 0.2 12766.0 1.0 2.8604118993135013E-5
 12 1416 0.0 0.18333333333333335 12766.0 1.0 2.7876895628902767E-5
 13 1460 0.0 0.16923076923076924 12766.0 1.0 2.7036770007209805E-5
 14 1536 0.0 0.15714285714285714 12766.0 1.0 2.5699013157894735E-5
 15 1568 0.0 0.14666666666666667 12766.0 1.0 2.5174543501611172E-5
 18 1568 0.0 0.1375 12766.0 1.0 2.5174543501611172E-5
 22 1568 0.0 0.12941176470588237 12766.0 1.0 2.5174543501611172E-5
 24 1569 0.0 0.12222222222222223 12766.0 1.0 2.5158498540807085E-5
 26 1569 0.0 0.11578947368421053 12766.0 1.0 2.5158498540807085E-5
 28 1569 0.0 0.11000000000000001 12766.0 1.0 2.5158498540807085E-5
 30 1569 0.0 0.10476190476190476 12766.0 1.0 2.5158498540807085E-5
 34 1570 0.0 0.1 12766.0 1.0 2.5142474019443513E-5
 35 1570 0.0 0.09565217391304348 12766.0 1.0 2.5142474019443513E-5
 41 1570 0.0 0.09166666666666667 12766.0 1.0 2.5142474019443513E-5
 37 1570 0.0 0.08800000000000001 12766.0 1.0 2.5142474019443513E-5
 39 1570 0.0 0.08461538461538462 12766.0 1.0 2.5142474019443513E-5
 44 1571 0.0 0.08148148148148149 12766.0 1.0 2.5126469898489063E-5
 45 1571 0.0 0.07857142857142857 12766.0 1.0 2.5126469898489063E-5
 47 1571 0.0 0.07586206896551724 12766.0 1.0 2.5126469898489063E-5
 49 1571 0.0 0.07333333333333333 12766.0 1.0 2.5126469898489063E-5
 51 1571 0.0 0.07096774193548387 12766.0 1.0 2.5126469898489063E-5
 53 1572 0.0 0.06875 12766.0 1.0 2.511048613901165E-5
 54 1572 0.0 0.06666666666666668 12766.0 1.0 2.511048613901165E-5
 56 1572 0.0 0.06470588235294118 12766.0 1.0 2.511048613901165E-5
 58 1572 0.0 0.06285714285714286 12766.0 1.0 2.511048613901165E-5
 60 1572 0.0 0.061111111111111116 12766.0 1.0 2.511048613901165E-5
 62 1573 0.0 0.05945945945945947 12766.0 1.0 2.5094522702178206E-5
 63 1573 0.0 0.05789473684210526 12766.0 1.0 2.5094522702178206E-5
 65 1764 0.0 0.05641025641025641 12766.0 1.0 2.2377372001432153E-5
 66 1824 0.0 0.05500000000000001 12766.0 1.0 2.1641274238227147E-5
 67 1912 0.0 0.06829268292682927 24238.0 1.0 2.2939147030756807E-5
 68 2053 0.0 0.06666666666666667 24238.0 1.0 2.1363686859623487E-5
 69 2081 0.0 0.06511627906976744 24238.0 1.0 2.107623696434744E-5
 70 2217 0.0 0.08636363636363638 155041.0 1.0 3.923694365970557E-5
 71 2240 0.0 0.08444444444444445 155041.0 1.0 3.883406432748538E-5
 72 2241 0.0 0.08260869565217392 155041.0 1.0 3.881673542774085E-5
 75 2241 0.0 0.08085106382978724 155041.0 1.0 3.881673542774085E-5
 79 2241 0.0 0.07916666666666666 155041.0 1.0 3.881673542774085E-5
 81 2241 0.0 0.07755102040816327 155041.0 1.0 3.881673542774085E-5
 82 2242 0.0 0.07600000000000001 155041.0 1.0 3.8799421986426073E-5
 84 2242 0.0 0.07450980392156863 155041.0 1.0 3.8799421986426073E-5
 86 2242 0.0 0.07307692307692308 155041.0 1.0 3.8799421986426073E-5
 88 2242 0.0 0.07169811320754717 155041.0 1.0 3.8799421986426073E-5
 96 2243 0.0 0.07037037037037037 155041.0 1.0 3.8782123982865474E-5
 98 2243 0.0 0.06909090909090909 155041.0 1.0 3.8782123982865474E-5
 100 2243 0.0 0.06785714285714285 155041.0 1.0 3.8782123982865474E-5
 93 2243 0.0 0.06666666666666667 155041.0 1.0 3.8782123982865474E-5
 94 2243 0.0 0.06551724137931035 155041.0 1.0 3.8782123982865474E-5
 102 2244 0.0 0.06440677966101695 155041.0 1.0 3.876484139642034E-5
 103 2244 0.0 0.06333333333333334 155041.0 1.0 3.876484139642034E-5
 105 2244 0.0 0.062295081967213124 155041.0 1.0 3.876484139642034E-5
 109 2244 0.0 0.061290322580645165 155041.0 1.0 3.876484139642034E-5
 107 2244 0.0 0.06031746031746032 155041.0 1.0 3.876484139642034E-5
 112 2245 0.0 0.059375000000000004 155041.0 1.0 3.8747574206488754E-5
 113 2245 0.0 0.05846153846153847 155041.0 1.0 3.8747574206488754E-5
 115 2245 0.0 0.05757575757575758 155041.0 1.0 3.8747574206488754E-5
 117 2245 0.0 0.056716417910447764 155041.0 1.0 3.8747574206488754E-5
 124 2246 0.0 0.05588235294117647 155041.0 1.0 3.873032239250546E-5
 119 2246 0.0 0.05507246376811595 155041.0 1.0 3.873032239250546E-5
 122 2246 0.0 0.054285714285714284 155041.0 1.0 3.873032239250546E-5
 120 2246 0.0 0.053521126760563385 155041.0 1.0 3.873032239250546E-5
 126 2246 0.0 0.05277777777777778 155041.0 1.0 3.873032239250546E-5
 128 2247 0.0 0.052054794520547946 155041.0 1.0 3.8713085933941813E-5
 129 2247 0.0 0.05135135135135136 155041.0 1.0 3.8713085933941813E-5
 131 2247 0.0 0.05066666666666667 155041.0 1.0 3.8713085933941813E-5
 134 2248 0.0 0.05 155041.0 1.0 3.869586481030572E-5
 135 2248 0.0 0.04935064935064936 155041.0 1.0 3.869586481030572E-5
 137 2248 0.0 0.04871794871794872 155041.0 1.0 3.869586481030572E-5
 142 2249 0.0 0.04810126582278481 155041.0 1.0 3.867865900114151E-5
 139 2249 0.0 0.04750000000000001 155041.0 1.0 3.867865900114151E-5
 140 2249 0.0 0.04691358024691358 155041.0 1.0 3.867865900114151E-5
 144 2250 0.0 0.04634146341463415 155041.0 1.0 3.866146848602989E-5
 145 2250 0.0 0.045783132530120486 155041.0 1.0 3.866146848602989E-5
 147 2250 0.0 0.04523809523809524 155041.0 1.0 3.866146848602989E-5
 149 2250 0.0 0.04470588235294118 155041.0 1.0 3.866146848602989E-5
 152 2251 0.0 0.044186046511627906 155041.0 1.0 3.864429324458785E-5
 151 2251 0.0 0.04367816091954023 155041.0 1.0 3.864429324458785E-5
 154 2251 0.0 0.04318181818181819 155041.0 1.0 3.864429324458785E-5
 157 2252 0.0 0.04269662921348315 155041.0 1.0 3.8627133256468585E-5
 156 2252 0.0 0.042222222222222223 155041.0 1.0 3.8627133256468585E-5
 159 2252 0.0 0.04175824175824176 155041.0 1.0 3.8627133256468585E-5
