 job_id  cmax  Mean_waiting_time  Mean_bounded_slowdow  Sum_weighted_completion_time  Competitive_factor  Utilization 
 16 1568 0.0 0.0 0.0 1.0 0.0
 19 1568 0.0 0.0 0.0 1.0 0.0
 23 1568 0.0 0.0 0.0 1.0 0.0
 25 1569 0.0 0.0 0.0 1.0 0.0
 27 1569 0.0 0.0 0.0 1.0 0.0
 29 1569 0.0 0.0 0.0 1.0 0.0
 33 1570 0.0 0.0 0.0 1.0 0.0
 36 1570 0.0 0.0 0.0 1.0 0.0
 38 1570 0.0 0.0 0.0 1.0 0.0
 40 1570 0.0 0.0 0.0 1.0 0.0
 43 1571 0.0 0.0 0.0 1.0 0.0
 46 1571 0.0 0.0 0.0 1.0 0.0
 48 1571 0.0 0.0 0.0 1.0 0.0
 50 1571 0.0 0.0 0.0 1.0 0.0
 52 1572 0.0 0.0 0.0 1.0 0.0
 55 1572 0.0 0.0 0.0 1.0 0.0
 57 1572 0.0 0.0 0.0 1.0 0.0
 59 1572 0.0 0.0 0.0 1.0 0.0
 61 1573 0.0 0.0 0.0 1.0 0.0
 64 1573 0.0 0.0 0.0 1.0 0.0
 73 2241 0.0 0.0 0.0 1.0 0.0
 76 2241 0.0 0.0 0.0 1.0 0.0
 80 2241 0.0 0.0 0.0 1.0 0.0
 83 2242 0.0 0.0 0.0 1.0 0.0
 85 2242 0.0 0.0 0.0 1.0 0.0
 87 2242 0.0 0.0 0.0 1.0 0.0
 91 2242 0.0 0.0 0.0 1.0 0.0
 97 2243 0.0 0.0 0.0 1.0 0.0
 99 2243 0.0 0.0 0.0 1.0 0.0
 92 2243 0.0 0.0 0.0 1.0 0.0
 95 2243 0.0 0.0 0.0 1.0 0.0
 104 2244 0.0 0.0 0.0 1.0 0.0
 101 2244 0.0 0.0 0.0 1.0 0.0
 106 2244 0.0 0.0 0.0 1.0 0.0
 108 2244 0.0 0.0 0.0 1.0 0.0
 111 2245 0.0 0.0 0.0 1.0 0.0
 116 2245 0.0 0.0 0.0 1.0 0.0
 114 2245 0.0 0.0 0.0 1.0 0.0
 121 2246 0.0 0.0 0.0 1.0 0.0
 118 2246 0.0 0.0 0.0 1.0 0.0
 123 2246 0.0 0.0 0.0 1.0 0.0
 125 2246 0.0 0.0 0.0 1.0 0.0
 127 2247 0.0 0.0 0.0 1.0 0.0
 130 2247 0.0 0.0 0.0 1.0 0.0
 132 2247 0.0 0.0 0.0 1.0 0.0
 133 2248 0.0 0.0 0.0 1.0 0.0
 136 2248 0.0 0.0 0.0 1.0 0.0
 138 2249 0.0 0.0 0.0 1.0 0.0
 141 2249 0.0 0.0 0.0 1.0 0.0
 143 2250 0.0 0.002 2250.0 1.0 3.8580246913580245E-7
 146 2250 0.0 0.00196078431372549 2250.0 1.0 3.8580246913580245E-7
 148 2250 0.0 0.0019230769230769232 2250.0 1.0 3.8580246913580245E-7
