 job_id  cmax  Mean_waiting_time  Mean_bounded_slowdow  Sum_weighted_completion_time  Competitive_factor  Utilization 
 5517 44519 0.0 1.0 5831989.0 1.0 2.2988780071430174E-5
 6559 49087 0.0 1.0 1.3440474E7 1.0 4.551867093120378E-5
 7421 49234 0.0 1.0 2.0628638E7 1.0 6.855018889385385E-5
 8086 49319 0.0 1.0 2.4771434E7 1.0 8.173827530971836E-5
 8444 49376 0.0 1.0 2.7487114E7 1.0 9.034627146791964E-5
 8647 49437 0.0 1.0 3.0453334E7 1.0 9.97165584481259E-5
 8821 49503 0.0 1.0 3.352252E7 1.0 1.0936837161384159E-4
 14929 135689 0.0 1.0 3.7864568E7 1.0 4.174297474371541E-5
 15143 135724 0.0 1.0 4.2479184E7 1.0 4.368930697592172E-5
 15416 135757 0.0 1.0 4.6823408E7 1.0 4.5520212585723017E-5
 15416 135757 0.0 1.0 4.6823408E7 1.0 4.5520212585723017E-5
