SITES	site0	site1
7379000	RELEASED	site0	405
7379000	ACCEPTED	site1	405
7379000	STARTED	site1	404
7433000	COMPLETED	site1	404
7433000	STARTED	site1	405
7466000	RELEASED	site0	406
7466000	REJECTED	site0	406
7479000	RELEASED	site0	407
7479000	ACCEPTED	site1	407
7479000	STARTED	site1	405
7492000	COMPLETED	site1	405
7492000	STARTED	site1	407
7521000	COMPLETED	site1	407
7611000	RELEASED	site0	408
7611000	ACCEPTED	site1	408
7611000	STARTED	site1	408
7714000	COMPLETED	site1	408
7743000	RELEASED	site0	409
7743000	ACCEPTED	site1	409
7743000	STARTED	site1	409
7855000	COMPLETED	site1	409
7875000	RELEASED	site0	410
7875000	ACCEPTED	site1	410
7875000	STARTED	site1	410
7943000	COMPLETED	site1	410
7994000	RELEASED	site0	411
7994000	ACCEPTED	site1	411
7994000	STARTED	site1	411
8025000	RELEASED	site0	412
8025000	ACCEPTED	site1	412
8025000	STARTED	site1	411
8050000	COMPLETED	site1	411
8050000	STARTED	site1	412
8054000	COMPLETED	site1	412
8166000	RELEASED	site0	413
8166000	ACCEPTED	site1	413
8166000	STARTED	site1	413
8191000	RELEASED	site0	414
8191000	ACCEPTED	site1	414
8191000	STARTED	site1	413
8209000	COMPLETED	site1	413
8209000	STARTED	site1	414
8216000	COMPLETED	site1	414
8235000	RELEASED	site0	415
8235000	ACCEPTED	site1	415
8235000	STARTED	site1	415
8242000	COMPLETED	site1	415
8258000	RELEASED	site0	416
8258000	ACCEPTED	site1	416
8258000	STARTED	site1	416
8266000	COMPLETED	site1	416
8288000	RELEASED	site0	417
8288000	ACCEPTED	site1	417
8288000	STARTED	site1	417
8293000	COMPLETED	site1	417
8373000	RELEASED	site0	418
8373000	ACCEPTED	site1	418
8373000	STARTED	site1	418
8378000	COMPLETED	site1	418
8405000	RELEASED	site0	419
8405000	ACCEPTED	site1	419
8405000	STARTED	site1	419
8415000	RELEASED	site0	420
8415000	ACCEPTED	site1	420
8415000	STARTED	site1	419
8476000	RELEASED	site0	421
8476000	REJECTED	site0	421
8693000	RELEASED	site0	422
8693000	REJECTED	site0	422
8770000	COMPLETED	site1	419
8770000	STARTED	site1	420
8775000	COMPLETED	site1	420
8882000	RELEASED	site0	423
8882000	ACCEPTED	site1	423
8882000	STARTED	site1	423
8886000	COMPLETED	site1	423
8901000	RELEASED	site0	424
8901000	ACCEPTED	site1	424
8901000	STARTED	site1	424
8964000	COMPLETED	site1	424
9007000	RELEASED	site0	425
9007000	ACCEPTED	site1	425
9007000	STARTED	site1	425
9020000	COMPLETED	site1	425
9056000	RELEASED	site0	426
9056000	ACCEPTED	site1	426
9056000	STARTED	site1	426
9105000	COMPLETED	site1	426
9139000	RELEASED	site0	427
9139000	ACCEPTED	site1	427
9139000	STARTED	site1	427
9167000	RELEASED	site0	428
9167000	ACCEPTED	site1	428
9167000	STARTED	site1	427
9169000	RELEASED	site0	429
9169000	ACCEPTED	site1	429
9169000	STARTED	site1	427
9195000	RELEASED	site0	430
9195000	REJECTED	site0	430
9222000	RELEASED	site0	431
9222000	REJECTED	site0	431
9237000	RELEASED	site0	432
9237000	ACCEPTED	site1	432
9237000	STARTED	site1	427
9252000	RELEASED	site0	433
9252000	REJECTED	site0	433
9276000	RELEASED	site0	434
9276000	ACCEPTED	site1	434
9276000	STARTED	site1	427
9286000	RELEASED	site0	435
9286000	REJECTED	site0	435
9315000	RELEASED	site0	436
9315000	REJECTED	site0	436
9344000	RELEASED	site0	437
9344000	ACCEPTED	site1	437
9344000	STARTED	site1	427
9358000	RELEASED	site0	438
9358000	ACCEPTED	site1	438
9358000	STARTED	site1	427
9375000	RELEASED	site0	439
9375000	REJECTED	site0	439
9405000	RELEASED	site0	440
9405000	REJECTED	site0	440
9434000	RELEASED	site0	441
9434000	REJECTED	site0	441
9438000	RELEASED	site0	442
9438000	REJECTED	site0	442
9448000	RELEASED	site0	443
9448000	ACCEPTED	site1	443
9448000	STARTED	site1	427
9462000	COMPLETED	site1	427
9462000	STARTED	site1	434
9465000	RELEASED	site0	444
9465000	REJECTED	site0	444
9493000	RELEASED	site0	445
9493000	REJECTED	site0	445
9503000	RELEASED	site0	446
9503000	ACCEPTED	site1	446
9503000	STARTED	site1	434
9524000	RELEASED	site0	447
9524000	REJECTED	site0	447
9549000	RELEASED	site0	448
9549000	REJECTED	site0	448
9578000	RELEASED	site0	449
9578000	REJECTED	site0	449
9589000	RELEASED	site0	450
9589000	ACCEPTED	site1	450
9589000	STARTED	site1	434
9593000	RELEASED	site0	451
9593000	REJECTED	site0	451
9607000	RELEASED	site0	452
9607000	ACCEPTED	site1	452
9607000	STARTED	site1	434
9608000	COMPLETED	site1	434
9608000	STARTED	site1	438
9636000	RELEASED	site0	453
9636000	REJECTED	site0	453
9643000	RELEASED	site0	454
9643000	ACCEPTED	site1	454
9643000	STARTED	site1	438
9667000	RELEASED	site0	455
9667000	REJECTED	site0	455
9680000	COMPLETED	site1	438
9680000	STARTED	site1	446
9691000	RELEASED	site0	456
9691000	REJECTED	site0	456
9694000	RELEASED	site0	457
9694000	REJECTED	site0	457
9722000	RELEASED	site0	458
9722000	REJECTED	site0	458
9723000	COMPLETED	site1	446
9723000	STARTED	site1	428
9749000	RELEASED	site0	459
9749000	REJECTED	site0	459
9777000	RELEASED	site0	460
9777000	ACCEPTED	site1	460
9777000	STARTED	site1	428
9806000	RELEASED	site0	461
9806000	REJECTED	site0	461
9835000	RELEASED	site0	462
9835000	REJECTED	site0	462
9861000	RELEASED	site0	463
9861000	REJECTED	site0	463
9866000	RELEASED	site0	464
9866000	ACCEPTED	site1	464
9866000	STARTED	site1	428
9876000	RELEASED	site0	465
9876000	REJECTED	site0	465
9896000	RELEASED	site0	466
9896000	ACCEPTED	site1	466
9896000	STARTED	site1	428
9929000	RELEASED	site0	467
9929000	REJECTED	site0	467
9940000	RELEASED	site0	468
9940000	ACCEPTED	site1	468
9940000	STARTED	site1	428
9947000	RELEASED	site0	469
9947000	REJECTED	site0	469
9954000	RELEASED	site0	470
9954000	REJECTED	site0	470
9957000	RELEASED	site0	471
9957000	REJECTED	site0	471
9962000	RELEASED	site0	472
9962000	REJECTED	site0	472
9970000	RELEASED	site0	473
9970000	REJECTED	site0	473
9976000	RELEASED	site0	474
9976000	REJECTED	site0	474
9984000	RELEASED	site0	475
9984000	REJECTED	site0	475
9994000	RELEASED	site0	476
9994000	REJECTED	site0	476
10050000	COMPLETED	site1	428
10050000	STARTED	site1	429
10051000	RELEASED	site0	477
10051000	REJECTED	site0	477
10077000	COMPLETED	site1	429
10077000	STARTED	site1	432
10109000	COMPLETED	site1	432
10109000	STARTED	site1	437
10147000	RELEASED	site0	478
10147000	ACCEPTED	site1	478
10147000	STARTED	site1	437
10282000	COMPLETED	site1	437
10282000	STARTED	site1	468
10303000	COMPLETED	site1	468
10303000	STARTED	site1	464
10344000	RELEASED	site0	479
10344000	REJECTED	site0	479
10346000	COMPLETED	site1	464
10346000	STARTED	site1	450
10371000	RELEASED	site0	480
10371000	REJECTED	site0	480
10381000	COMPLETED	site1	450
10381000	STARTED	site1	466
10397000	RELEASED	site0	481
10397000	REJECTED	site0	481
10425000	RELEASED	site0	482
10425000	ACCEPTED	site1	482
10425000	STARTED	site1	466
10436000	RELEASED	site0	483
10436000	ACCEPTED	site1	483
10436000	STARTED	site1	466
10452000	RELEASED	site0	484
10452000	REJECTED	site0	484
10478000	RELEASED	site0	485
10478000	REJECTED	site0	485
10504000	RELEASED	site0	486
10504000	REJECTED	site0	486
10519000	RELEASED	site0	487
10519000	ACCEPTED	site1	487
10519000	STARTED	site1	466
10529000	COMPLETED	site1	466
10529000	STARTED	site1	454
10531000	RELEASED	site0	488
10531000	REJECTED	site0	488
10555000	COMPLETED	site1	454
10555000	STARTED	site1	460
10557000	RELEASED	site0	489
10557000	REJECTED	site0	489
10582000	RELEASED	site0	490
10582000	ACCEPTED	site1	490
10582000	STARTED	site1	460
10609000	RELEASED	site0	491
10609000	ACCEPTED	site1	491
10609000	STARTED	site1	460
10636000	RELEASED	site0	492
10636000	REJECTED	site0	492
10651000	RELEASED	site0	493
10651000	ACCEPTED	site1	493
10651000	STARTED	site1	460
10661000	RELEASED	site0	494
10661000	REJECTED	site0	494
10687000	RELEASED	site0	495
10687000	REJECTED	site0	495
10713000	RELEASED	site0	496
10713000	ACCEPTED	site1	496
10713000	STARTED	site1	460
10727000	COMPLETED	site1	460
10727000	STARTED	site1	483
10741000	RELEASED	site0	497
10741000	REJECTED	site0	497
10767000	RELEASED	site0	498
10767000	REJECTED	site0	498
10788000	COMPLETED	site1	483
10788000	STARTED	site1	478
10792000	RELEASED	site0	499
10792000	REJECTED	site0	499
10803000	RELEASED	site0	500
10803000	ACCEPTED	site1	500
10803000	STARTED	site1	478
10805000	RELEASED	site0	501
10805000	ACCEPTED	site1	501
10805000	STARTED	site1	501
10820000	RELEASED	site0	502
10820000	REJECTED	site0	502
10822000	COMPLETED	site1	501
10822000	STARTED	site1	478
10841000	RELEASED	site0	503
10841000	ACCEPTED	site1	503
10841000	STARTED	site1	478
10842000	RELEASED	site0	504
10842000	REJECTED	site0	504
10846000	RELEASED	site0	505
10846000	REJECTED	site0	505
10860000	RELEASED	site0	506
10860000	REJECTED	site0	506
10874000	RELEASED	site0	507
10874000	ACCEPTED	site1	507
10874000	STARTED	site1	478
10878000	RELEASED	site0	508
10878000	REJECTED	site0	508
10880000	RELEASED	site0	509
10880000	ACCEPTED	site1	509
10880000	STARTED	site1	478
10885000	COMPLETED	site1	478
10885000	STARTED	site1	509
10901000	COMPLETED	site1	509
10901000	STARTED	site1	491
10902000	RELEASED	site0	510
10902000	REJECTED	site0	510
10915000	RELEASED	site0	511
10915000	REJECTED	site0	511
10916000	RELEASED	site0	512
10916000	REJECTED	site0	512
10930000	RELEASED	site0	513
10930000	REJECTED	site0	513
10952000	RELEASED	site0	514
10952000	REJECTED	site0	514
10953000	RELEASED	site0	515
10953000	REJECTED	site0	515
10957000	RELEASED	site0	516
10957000	REJECTED	site0	516
10986000	RELEASED	site0	517
10986000	REJECTED	site0	517
10987000	RELEASED	site0	518
10987000	ACCEPTED	site1	518
10987000	STARTED	site1	491
10988000	COMPLETED	site1	491
10988000	STARTED	site1	487
10988000	RELEASED	site0	519
10988000	REJECTED	site0	519
10990000	RELEASED	site0	520
10990000	REJECTED	site0	520
10992000	COMPLETED	site1	487
10992000	STARTED	site1	500
11012000	COMPLETED	site1	500
11012000	STARTED	site1	482
11013000	RELEASED	site0	521
11013000	REJECTED	site0	521
11041000	RELEASED	site0	522
11041000	REJECTED	site0	522
11070000	RELEASED	site0	523
11070000	REJECTED	site0	523
11101000	RELEASED	site0	524
11101000	REJECTED	site0	524
11143000	RELEASED	site0	525
11143000	REJECTED	site0	525
11172000	COMPLETED	site1	482
11172000	STARTED	site1	490
11183000	RELEASED	site0	526
11183000	REJECTED	site0	526
11266000	RELEASED	site0	527
11266000	REJECTED	site0	527
11272000	RELEASED	site0	528
11272000	REJECTED	site0	528
11278000	RELEASED	site0	529
11278000	REJECTED	site0	529
11283000	RELEASED	site0	530
11283000	REJECTED	site0	530
11289000	RELEASED	site0	531
11289000	REJECTED	site0	531
11296000	RELEASED	site0	532
11296000	REJECTED	site0	532
11320000	COMPLETED	site1	490
11320000	STARTED	site1	503
11321000	RELEASED	site0	533
11321000	REJECTED	site0	533
11332000	RELEASED	site0	534
11332000	REJECTED	site0	534
11338000	COMPLETED	site1	503
11338000	STARTED	site1	496
11348000	RELEASED	site0	535
11348000	REJECTED	site0	535
11373000	RELEASED	site0	536
11373000	REJECTED	site0	536
11400000	RELEASED	site0	537
11400000	REJECTED	site0	537
11429000	RELEASED	site0	538
11429000	REJECTED	site0	538
11454000	RELEASED	site0	539
11454000	REJECTED	site0	539
11480000	RELEASED	site0	540
11480000	ACCEPTED	site1	540
11480000	STARTED	site1	496
11487000	RELEASED	site0	541
11487000	REJECTED	site0	541
11509000	RELEASED	site0	542
11509000	ACCEPTED	site1	542
11509000	STARTED	site1	496
11533000	RELEASED	site0	543
11533000	REJECTED	site0	543
11561000	RELEASED	site0	544
11561000	REJECTED	site0	544
11568000	RELEASED	site0	545
11568000	ACCEPTED	site1	545
11568000	STARTED	site1	496
11574000	RELEASED	site0	546
11574000	REJECTED	site0	546
11582000	RELEASED	site0	547
11582000	REJECTED	site0	547
11590000	RELEASED	site0	548
11590000	REJECTED	site0	548
11591000	RELEASED	site0	549
11591000	ACCEPTED	site1	549
11591000	STARTED	site1	496
11616000	RELEASED	site0	550
11616000	REJECTED	site0	550
11644000	RELEASED	site0	551
11644000	ACCEPTED	site1	551
11644000	STARTED	site1	496
11663000	COMPLETED	site1	496
11663000	STARTED	site1	493
11668000	RELEASED	site0	552
11668000	REJECTED	site0	552
11671000	RELEASED	site0	553
11671000	ACCEPTED	site1	553
11671000	STARTED	site1	493
11697000	RELEASED	site0	554
11697000	ACCEPTED	site1	554
11697000	STARTED	site1	493
11722000	RELEASED	site0	555
11722000	ACCEPTED	site1	555
11722000	STARTED	site1	493
11728000	COMPLETED	site1	493
11728000	STARTED	site1	540
11749000	RELEASED	site0	556
11749000	REJECTED	site0	556
11776000	RELEASED	site0	557
11776000	ACCEPTED	site1	557
11776000	STARTED	site1	540
11803000	RELEASED	site0	558
11803000	REJECTED	site0	558
11831000	RELEASED	site0	559
11831000	REJECTED	site0	559
11832000	RELEASED	site0	560
11832000	REJECTED	site0	560
11858000	RELEASED	site0	561
11858000	ACCEPTED	site1	561
11858000	STARTED	site1	540
11876000	COMPLETED	site1	540
11876000	STARTED	site1	542
11883000	COMPLETED	site1	542
11883000	STARTED	site1	557
11887000	RELEASED	site0	562
11887000	ACCEPTED	site1	562
11887000	STARTED	site1	562
11906000	COMPLETED	site1	562
11906000	STARTED	site1	557
11912000	RELEASED	site0	563
11912000	REJECTED	site0	563
11944000	RELEASED	site0	564
11944000	REJECTED	site0	564
11950000	COMPLETED	site1	557
11950000	STARTED	site1	549
11971000	COMPLETED	site1	549
11971000	STARTED	site1	518
11980000	COMPLETED	site1	518
11980000	STARTED	site1	551
11981000	RELEASED	site0	565
11981000	REJECTED	site0	565
12010000	RELEASED	site0	566
12010000	REJECTED	site0	566
12041000	RELEASED	site0	567
12041000	REJECTED	site0	567
12062000	COMPLETED	site1	551
12062000	STARTED	site1	555
12078000	RELEASED	site0	568
12078000	REJECTED	site0	568
12133000	RELEASED	site0	569
12133000	ACCEPTED	site1	569
12133000	STARTED	site1	569
12140000	COMPLETED	site1	569
12140000	STARTED	site1	555
12163000	RELEASED	site0	570
12163000	REJECTED	site0	570
12178000	COMPLETED	site1	555
12178000	STARTED	site1	545
12186000	RELEASED	site0	571
12186000	ACCEPTED	site1	571
12186000	STARTED	site1	545
12199000	COMPLETED	site1	545
12199000	STARTED	site1	554
12213000	RELEASED	site0	572
12213000	REJECTED	site0	572
12223000	RELEASED	site0	573
12223000	ACCEPTED	site1	573
12223000	STARTED	site1	554
12240000	RELEASED	site0	574
12240000	REJECTED	site0	574
12261000	RELEASED	site0	575
12261000	ACCEPTED	site1	575
12261000	STARTED	site1	554
12265000	RELEASED	site0	576
12265000	REJECTED	site0	576
12293000	RELEASED	site0	577
12293000	REJECTED	site0	577
12321000	RELEASED	site0	578
12321000	REJECTED	site0	578
12349000	RELEASED	site0	579
12349000	REJECTED	site0	579
12351000	RELEASED	site0	580
12351000	REJECTED	site0	580
12361000	RELEASED	site0	581
12361000	ACCEPTED	site1	581
12361000	STARTED	site1	554
12363000	COMPLETED	site1	554
12363000	STARTED	site1	575
12368000	COMPLETED	site1	575
12368000	STARTED	site1	571
12386000	RELEASED	site0	582
12386000	REJECTED	site0	582
12415000	RELEASED	site0	583
12415000	REJECTED	site0	583
12438000	RELEASED	site0	584
12438000	REJECTED	site0	584
12464000	RELEASED	site0	585
12464000	REJECTED	site0	585
12480000	COMPLETED	site1	571
12480000	STARTED	site1	573
12481000	COMPLETED	site1	573
12481000	STARTED	site1	507
12489000	RELEASED	site0	586
12489000	REJECTED	site0	586
12516000	RELEASED	site0	587
12516000	REJECTED	site0	587
12541000	RELEASED	site0	588
12541000	REJECTED	site0	588
12567000	RELEASED	site0	589
12567000	REJECTED	site0	589
12592000	RELEASED	site0	590
12592000	REJECTED	site0	590
12619000	RELEASED	site0	591
12619000	REJECTED	site0	591
12645000	COMPLETED	site1	507
12645000	STARTED	site1	553
12645000	RELEASED	site0	592
12645000	REJECTED	site0	592
12670000	RELEASED	site0	593
12670000	REJECTED	site0	593
12695000	RELEASED	site0	594
12695000	REJECTED	site0	594
12722000	RELEASED	site0	595
12722000	REJECTED	site0	595
12738000	RELEASED	site0	596
12738000	REJECTED	site0	596
12743000	RELEASED	site0	597
12743000	ACCEPTED	site1	597
12743000	STARTED	site1	553
12748000	RELEASED	site0	598
12748000	ACCEPTED	site1	598
12748000	STARTED	site1	553
12749000	RELEASED	site0	599
12749000	ACCEPTED	site1	599
12749000	STARTED	site1	553
12754000	RELEASED	site0	600
12754000	REJECTED	site0	600
12758000	RELEASED	site0	601
12758000	ACCEPTED	site1	601
12758000	STARTED	site1	553
12764000	RELEASED	site0	602
12764000	REJECTED	site0	602
12768000	RELEASED	site0	603
12768000	REJECTED	site0	603
12772000	RELEASED	site0	604
12772000	REJECTED	site0	604
12779000	RELEASED	site0	605
12779000	ACCEPTED	site1	605
12779000	STARTED	site1	553
12781000	RELEASED	site0	606
12781000	REJECTED	site0	606
12789000	RELEASED	site0	607
12789000	REJECTED	site0	607
12795000	RELEASED	site0	608
12795000	REJECTED	site0	608
12801000	RELEASED	site0	609
12801000	REJECTED	site0	609
12804000	RELEASED	site0	610
12804000	ACCEPTED	site1	610
12804000	STARTED	site1	553
12805000	RELEASED	site0	611
12805000	REJECTED	site0	611
12811000	RELEASED	site0	612
12811000	REJECTED	site0	612
12815000	RELEASED	site0	613
12815000	REJECTED	site0	613
12820000	RELEASED	site0	614
12820000	REJECTED	site0	614
12836000	RELEASED	site0	615
12836000	ACCEPTED	site1	615
12836000	STARTED	site1	553
12881000	RELEASED	site0	616
12881000	REJECTED	site0	616
12884000	RELEASED	site0	617
12884000	REJECTED	site0	617
12900000	RELEASED	site0	618
12900000	ACCEPTED	site1	618
12900000	STARTED	site1	553
12910000	RELEASED	site0	619
12910000	REJECTED	site0	619
12918000	COMPLETED	site1	553
12918000	STARTED	site1	581
12929000	RELEASED	site0	620
12929000	REJECTED	site0	620
12938000	RELEASED	site0	621
12938000	REJECTED	site0	621
12938000	RELEASED	site0	622
12938000	REJECTED	site0	622
12945000	RELEASED	site0	623
12945000	REJECTED	site0	623
12949000	COMPLETED	site1	581
12949000	STARTED	site1	610
12950000	RELEASED	site0	624
12950000	REJECTED	site0	624
12979000	RELEASED	site0	625
12979000	REJECTED	site0	625
12984000	COMPLETED	site1	610
12984000	STARTED	site1	599
13010000	RELEASED	site0	626
13010000	REJECTED	site0	626
13020000	COMPLETED	site1	599
13020000	STARTED	site1	597
13034000	RELEASED	site0	627
13034000	REJECTED	site0	627
13071000	RELEASED	site0	628
13071000	REJECTED	site0	628
13077000	RELEASED	site0	629
13077000	REJECTED	site0	629
13086000	RELEASED	site0	630
13086000	REJECTED	site0	630
13097000	RELEASED	site0	631
13097000	REJECTED	site0	631
13103000	RELEASED	site0	632
13103000	REJECTED	site0	632
13105000	RELEASED	site0	633
13105000	REJECTED	site0	633
13109000	RELEASED	site0	634
13109000	REJECTED	site0	634
13114000	RELEASED	site0	635
13114000	REJECTED	site0	635
13119000	RELEASED	site0	636
13119000	REJECTED	site0	636
13123000	RELEASED	site0	637
13123000	REJECTED	site0	637
13131000	RELEASED	site0	638
13131000	REJECTED	site0	638
13132000	RELEASED	site0	639
13132000	REJECTED	site0	639
13140000	RELEASED	site0	640
13140000	REJECTED	site0	640
13147000	RELEASED	site0	641
13147000	REJECTED	site0	641
13152000	RELEASED	site0	642
13152000	REJECTED	site0	642
13160000	RELEASED	site0	643
13160000	REJECTED	site0	643
13162000	RELEASED	site0	644
13162000	REJECTED	site0	644
13172000	RELEASED	site0	645
13172000	REJECTED	site0	645
13180000	RELEASED	site0	646
13180000	REJECTED	site0	646
13184000	RELEASED	site0	647
13184000	REJECTED	site0	647
13185000	RELEASED	site0	648
13185000	REJECTED	site0	648
13189000	RELEASED	site0	649
13189000	REJECTED	site0	649
13194000	RELEASED	site0	650
13194000	REJECTED	site0	650
13201000	RELEASED	site0	651
13201000	REJECTED	site0	651
13206000	RELEASED	site0	652
13206000	REJECTED	site0	652
13211000	RELEASED	site0	653
13211000	ACCEPTED	site1	653
13211000	STARTED	site1	653
13213000	RELEASED	site0	654
13213000	REJECTED	site0	654
13216000	COMPLETED	site1	653
13216000	STARTED	site1	597
13219000	RELEASED	site0	655
13219000	REJECTED	site0	655
13223000	RELEASED	site0	656
13223000	REJECTED	site0	656
13229000	RELEASED	site0	657
13229000	REJECTED	site0	657
13236000	RELEASED	site0	658
13236000	REJECTED	site0	658
13238000	RELEASED	site0	659
13238000	REJECTED	site0	659
13245000	RELEASED	site0	660
13245000	REJECTED	site0	660
13253000	RELEASED	site0	661
13253000	REJECTED	site0	661
13260000	RELEASED	site0	662
13260000	REJECTED	site0	662
13265000	RELEASED	site0	663
13265000	REJECTED	site0	663
13266000	RELEASED	site0	664
13266000	REJECTED	site0	664
13282000	RELEASED	site0	665
13282000	REJECTED	site0	665
13290000	RELEASED	site0	666
13290000	REJECTED	site0	666
13294000	RELEASED	site0	667
13294000	REJECTED	site0	667
13294000	RELEASED	site0	668
13294000	REJECTED	site0	668
13302000	RELEASED	site0	669
13302000	REJECTED	site0	669
13305000	RELEASED	site0	670
13305000	REJECTED	site0	670
13307000	RELEASED	site0	671
13307000	REJECTED	site0	671
13313000	RELEASED	site0	672
13313000	REJECTED	site0	672
13320000	RELEASED	site0	673
13320000	REJECTED	site0	673
13323000	RELEASED	site0	674
13323000	REJECTED	site0	674
13326000	RELEASED	site0	675
13326000	REJECTED	site0	675
13332000	RELEASED	site0	676
13332000	REJECTED	site0	676
13336000	RELEASED	site0	677
13336000	REJECTED	site0	677
13342000	COMPLETED	site1	597
13342000	STARTED	site1	598
13342000	RELEASED	site0	678
13342000	REJECTED	site0	678
13352000	RELEASED	site0	679
13352000	REJECTED	site0	679
13353000	RELEASED	site0	680
13353000	REJECTED	site0	680
13369000	RELEASED	site0	681
13369000	REJECTED	site0	681
13371000	RELEASED	site0	682
13371000	REJECTED	site0	682
13386000	RELEASED	site0	683
13386000	REJECTED	site0	683
13390000	RELEASED	site0	684
13390000	REJECTED	site0	684
13394000	RELEASED	site0	685
13394000	REJECTED	site0	685
13396000	RELEASED	site0	686
13396000	REJECTED	site0	686
13401000	RELEASED	site0	687
13401000	REJECTED	site0	687
13407000	RELEASED	site0	688
13407000	REJECTED	site0	688
13412000	RELEASED	site0	689
13412000	REJECTED	site0	689
13416000	RELEASED	site0	690
13416000	REJECTED	site0	690
13417000	RELEASED	site0	691
13417000	REJECTED	site0	691
13421000	RELEASED	site0	692
13421000	REJECTED	site0	692
13421000	RELEASED	site0	693
13421000	REJECTED	site0	693
13426000	RELEASED	site0	694
13426000	REJECTED	site0	694
13430000	RELEASED	site0	695
13430000	REJECTED	site0	695
13435000	RELEASED	site0	696
13435000	REJECTED	site0	696
13442000	RELEASED	site0	697
13442000	REJECTED	site0	697
13444000	RELEASED	site0	698
13444000	REJECTED	site0	698
13448000	RELEASED	site0	699
13448000	REJECTED	site0	699
13452000	RELEASED	site0	700
13452000	REJECTED	site0	700
13458000	RELEASED	site0	701
13458000	REJECTED	site0	701
13464000	RELEASED	site0	702
13464000	REJECTED	site0	702
13471000	RELEASED	site0	703
13471000	REJECTED	site0	703
13483000	RELEASED	site0	704
13483000	REJECTED	site0	704
13494000	RELEASED	site0	705
13494000	REJECTED	site0	705
13504000	RELEASED	site0	706
13504000	REJECTED	site0	706
13506000	RELEASED	site0	707
13506000	REJECTED	site0	707
13513000	RELEASED	site0	708
13513000	REJECTED	site0	708
13523000	RELEASED	site0	709
13523000	REJECTED	site0	709
13528000	RELEASED	site0	710
13528000	REJECTED	site0	710
13529000	RELEASED	site0	711
13529000	REJECTED	site0	711
13536000	RELEASED	site0	712
13536000	REJECTED	site0	712
13537000	RELEASED	site0	713
13537000	REJECTED	site0	713
13539000	RELEASED	site0	714
13539000	REJECTED	site0	714
13541000	RELEASED	site0	715
13541000	REJECTED	site0	715
13550000	RELEASED	site0	716
13550000	REJECTED	site0	716
13551000	RELEASED	site0	717
13551000	REJECTED	site0	717
13554000	RELEASED	site0	718
13554000	REJECTED	site0	718
13563000	RELEASED	site0	719
13563000	REJECTED	site0	719
13563000	RELEASED	site0	720
13563000	REJECTED	site0	720
13573000	RELEASED	site0	721
13573000	REJECTED	site0	721
13579000	COMPLETED	site1	598
13579000	STARTED	site1	615
13580000	RELEASED	site0	722
13580000	REJECTED	site0	722
13587000	RELEASED	site0	723
13587000	REJECTED	site0	723
13595000	RELEASED	site0	724
13595000	REJECTED	site0	724
13598000	RELEASED	site0	725
13598000	REJECTED	site0	725
13603000	RELEASED	site0	726
13603000	REJECTED	site0	726
13603000	RELEASED	site0	727
13603000	REJECTED	site0	727
13608000	RELEASED	site0	728
13608000	REJECTED	site0	728
13614000	RELEASED	site0	729
13614000	REJECTED	site0	729
13620000	RELEASED	site0	730
13620000	REJECTED	site0	730
13625000	COMPLETED	site1	615
13625000	STARTED	site1	601
13625000	RELEASED	site0	731
13625000	REJECTED	site0	731
13631000	RELEASED	site0	732
13631000	REJECTED	site0	732
13632000	RELEASED	site0	733
13632000	REJECTED	site0	733
13636000	RELEASED	site0	734
13636000	REJECTED	site0	734
13638000	RELEASED	site0	735
13638000	ACCEPTED	site1	735
13638000	STARTED	site1	601
13645000	RELEASED	site0	736
13645000	REJECTED	site0	736
13653000	RELEASED	site0	737
13653000	REJECTED	site0	737
13657000	RELEASED	site0	738
13657000	REJECTED	site0	738
13658000	RELEASED	site0	739
13658000	REJECTED	site0	739
13665000	RELEASED	site0	740
13665000	REJECTED	site0	740
13670000	RELEASED	site0	741
13670000	REJECTED	site0	741
13674000	RELEASED	site0	742
13674000	REJECTED	site0	742
13689000	RELEASED	site0	743
13689000	REJECTED	site0	743
13693000	RELEASED	site0	744
13693000	REJECTED	site0	744
13694000	RELEASED	site0	745
13694000	REJECTED	site0	745
13700000	RELEASED	site0	746
13700000	REJECTED	site0	746
13708000	RELEASED	site0	747
13708000	REJECTED	site0	747
13715000	RELEASED	site0	748
13715000	REJECTED	site0	748
13715000	RELEASED	site0	749
13715000	REJECTED	site0	749
13720000	RELEASED	site0	750
13720000	ACCEPTED	site1	750
13720000	STARTED	site1	601
13724000	RELEASED	site0	751
13724000	REJECTED	site0	751
13726000	RELEASED	site0	752
13726000	REJECTED	site0	752
13731000	RELEASED	site0	753
13731000	REJECTED	site0	753
13732000	RELEASED	site0	754
13732000	REJECTED	site0	754
13738000	RELEASED	site0	755
13738000	REJECTED	site0	755
13742000	RELEASED	site0	756
13742000	REJECTED	site0	756
13751000	RELEASED	site0	757
13751000	REJECTED	site0	757
13754000	RELEASED	site0	758
13754000	REJECTED	site0	758
13761000	RELEASED	site0	759
13761000	REJECTED	site0	759
13766000	RELEASED	site0	760
13766000	ACCEPTED	site1	760
13766000	STARTED	site1	601
13771000	RELEASED	site0	761
13771000	REJECTED	site0	761
13777000	RELEASED	site0	762
13777000	ACCEPTED	site1	762
13777000	STARTED	site1	601
13780000	RELEASED	site0	763
13780000	REJECTED	site0	763
13783000	COMPLETED	site1	601
13783000	STARTED	site1	605
13784000	RELEASED	site0	764
13784000	REJECTED	site0	764
13794000	RELEASED	site0	765
13794000	REJECTED	site0	765
13806000	RELEASED	site0	766
