SITES	site0	site1
2251000	RELEASED	site0	103
2251000	REJECTED	site0	103
2251000	RELEASED	site0	104
2251000	REJECTED	site0	104
2251000	RELEASED	site0	105
2251000	REJECTED	site0	105
2251000	RELEASED	site0	106
2251000	REJECTED	site0	106
2251000	RELEASED	site0	107
2251000	REJECTED	site0	107
2251000	RELEASED	site0	108
2251000	REJECTED	site0	108
2251000	RELEASED	site0	109
2251000	REJECTED	site0	109
2251000	RELEASED	site0	110
2251000	REJECTED	site0	110
2252000	RELEASED	site0	111
2252000	REJECTED	site0	111
2252000	RELEASED	site0	112
2252000	REJECTED	site0	112
2252000	RELEASED	site0	113
2252000	REJECTED	site0	113
2252000	RELEASED	site0	114
2252000	REJECTED	site0	114
2252000	RELEASED	site0	115
2252000	REJECTED	site0	115
2252000	RELEASED	site0	116
2252000	REJECTED	site0	116
2252000	RELEASED	site0	117
2252000	REJECTED	site0	117
2253000	RELEASED	site0	118
2253000	REJECTED	site0	118
2253000	RELEASED	site0	119
2253000	REJECTED	site0	119
2253000	RELEASED	site0	120
2253000	REJECTED	site0	120
2253000	RELEASED	site0	121
2253000	REJECTED	site0	121
2253000	RELEASED	site0	122
2253000	REJECTED	site0	122
2253000	RELEASED	site0	123
2253000	REJECTED	site0	123
2253000	RELEASED	site0	124
2253000	REJECTED	site0	124
2253000	RELEASED	site0	125
2253000	REJECTED	site0	125
2253000	RELEASED	site0	126
2253000	REJECTED	site0	126
2254000	RELEASED	site0	127
2254000	REJECTED	site0	127
2254000	RELEASED	site0	128
2254000	REJECTED	site0	128
2254000	RELEASED	site0	129
2254000	REJECTED	site0	129
2254000	RELEASED	site0	130
2254000	REJECTED	site0	130
2254000	RELEASED	site0	131
2254000	REJECTED	site0	131
2254000	RELEASED	site0	132
2254000	REJECTED	site0	132
2255000	RELEASED	site0	133
2255000	REJECTED	site0	133
2255000	RELEASED	site0	134
2255000	REJECTED	site0	134
2255000	RELEASED	site0	135
2255000	REJECTED	site0	135
2255000	RELEASED	site0	136
2255000	REJECTED	site0	136
2255000	RELEASED	site0	137
2255000	REJECTED	site0	137
2256000	RELEASED	site0	138
2256000	REJECTED	site0	138
2256000	RELEASED	site0	139
2256000	REJECTED	site0	139
2256000	RELEASED	site0	140
2256000	REJECTED	site0	140
2256000	RELEASED	site0	141
2256000	REJECTED	site0	141
2256000	RELEASED	site0	142
2256000	REJECTED	site0	142
2256000	RELEASED	site0	143
2256000	REJECTED	site0	143
2257000	RELEASED	site0	144
2257000	REJECTED	site0	144
2257000	RELEASED	site0	145
2257000	REJECTED	site0	145
2257000	RELEASED	site0	146
2257000	REJECTED	site0	146
2257000	RELEASED	site0	147
2257000	REJECTED	site0	147
2257000	RELEASED	site0	148
2257000	REJECTED	site0	148
2257000	RELEASED	site0	149
2257000	REJECTED	site0	149
2258000	RELEASED	site0	150
2258000	REJECTED	site0	150
2258000	RELEASED	site0	151
2258000	REJECTED	site0	151
2258000	RELEASED	site0	152
2258000	REJECTED	site0	152
2258000	RELEASED	site0	153
2258000	REJECTED	site0	153
2258000	RELEASED	site0	154
2258000	REJECTED	site0	154
2259000	RELEASED	site0	155
2259000	REJECTED	site0	155
2259000	RELEASED	site0	156
2259000	REJECTED	site0	156
2259000	RELEASED	site0	157
2259000	REJECTED	site0	157
2259000	RELEASED	site0	158
2259000	REJECTED	site0	158
2259000	RELEASED	site0	159
2259000	REJECTED	site0	159
2259000	RELEASED	site0	160
2259000	REJECTED	site0	160
2260000	RELEASED	site0	161
2260000	REJECTED	site0	161
2260000	RELEASED	site0	162
2260000	REJECTED	site0	162
2260000	RELEASED	site0	163
2260000	REJECTED	site0	163
