 cmax  mean_waiting_time  competitive_factor  energy  offtime  idletime  worktime  mean_bounded_slowdown  sum_weighted_completion_time  utilization  response_time  efficiency 
 239.0 0.0 Infinity 0.9707112970711297 100.0 88 151 3.682926829268293 9799.0 0.0 151.0 0.0
 399.0 0.0 Infinity 2.1453684210526314 2.928858038250886 0 392 3.0664634146341463 36819.5 0.0 271.5 0.0
 833.0 0.0 Infinity 1.3385390156062424 36.32635443601136 372 454 2.377642276422764 41761.666666666664 0.0 201.66666666666666 0.0
 923.0 0.0 Infinity 1.80390465872156 40.87990222719452 335 581 4.562643472022955 35244.0 0.0 198.5 0.0
 1097.0 3.4000000000000004 Infinity 1.7739325432999087 32.20520013667422 335 755 3.8696550075034217 66370.8 0.0 197.0 0.0
 1227.0 2.833333333333333 Infinity 1.788920130399348 41.80719016455854 390 830 3.4964516366876337 64716.0 0.0 176.66666666666666 0.0
 1393.0 9.0 Infinity 1.7903847810480975 41.78655017065469 390 996 3.3191469955802817 74176.85714285714 0.0 181.71428571428572 0.0
 1853.0 33.0 Infinity 1.7344878575283325 35.967359524848625 0 1846 3.353981882002312 171452.25 0.0 365.875 0.0
 2386.0 106.88888888888889 Infinity 1.7632045264040237 34.404223356535816 0 2379 3.2379359484798536 293706.2222222222 0.0 462.0 0.0
 3630.0 204.9 Infinity 1.6484865013774104 31.709556470262353 0 3623 3.101521774853733 715907.6000000001 0.0 648.9 0.0
 3630.0 204.9 Infinity 1.6484865013774104 31.709556470262353 0 3623 3.101521774853733 715907.6000000001 0.0 648.9 0.0
