 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 1 248 0.0 241.0 0 0 0.9717741935483871 0.9717741935483871
 2 399 80.0 276.0 0 0 0.9824561403508771 0.9824561403508771
 5 833 53.33333333333333 204.66666666666666 0 0 0.5450180072028812 0.5450180072028812
 4 923 55.5 200.75 1 0 0.6294691224268689 0.6294691224268689
 6 1097 47.800000000000004 198.8 1 0 0.6882406563354604 0.6882406563354604
 9 0 0 0 1 1 0 0
 7 1364 62.666666666666664 201.0 37 1 0.6085043988269795 0.6085043988269795
 8 1760 64.0 258.7142857142857 73 1 0.7744318181818182 0.7744318181818182
 3 2220 202.5 479.125 75 1 0.9968468468468469 0.9968468468468469
 10 3464 282.3333333333333 666.4444444444445 75 1 0.9979792147806005 0.9979792147806005
 10 3464 282.3333333333333 666.4444444444445 75 1 0.9979792147806005 0.9979792147806005
