 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 1 248 0.0 241.0 0 0 0.9717741935483871 0.9717741935483871
 2 399 80.0 276.0 0 0 0.9824561403508771 0.9824561403508771
 5 833 53.33333333333333 204.66666666666666 0 0 0.5450180072028812 0.5450180072028812
 4 1079 94.5 239.75 10 0 0.5384615384615384 0.5384615384615384
 6 1097 79.0 230.0 19 0 0.6882406563354604 0.6882406563354604
 7 1227 65.83333333333333 204.16666666666666 19 0 0.6764466177669112 0.6764466177669112
 9 1393 63.0 205.28571428571428 19 0 0.7150035893754487 0.7150035893754487
 8 1926 84.875 276.0 19 0 0.7938733125649013 0.7938733125649013
 3 2386 224.1111111111111 488.4444444444444 21 0 0.9970662196144174 0.9970662196144174
 10 3630 310.40000000000003 672.7 21 0 0.9980716253443526 0.9980716253443526
 10 3630 310.40000000000003 672.7 21 0 0.9980716253443526 0.9980716253443526
