 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 600 361.0 512.0 61 0 0.25166666666666665 0.25166666666666665
 1 675 394.0 590.0 142 0 0.5807407407407408 0.5807407407407408
 4 0 0 0 142 1 0 0
 5 0 0 0 142 2 0 0
 7 0 0 0 142 3 0 0
 8 0 0 0 142 4 0 0
 3 1249 329.66666666666663 743.6666666666666 243 4 0.9943955164131305 0.9943955164131305
 6 1511 355.0 709.0 287 4 0.9371277299801456 0.9371277299801456
 9 1589 332.40000000000003 648.8000000000001 331 4 0.9955947136563876 0.9955947136563876
 10 2833 325.3333333333333 796.3333333333333 331 4 0.9975291210730675 0.9975291210730675
 10 2833 325.3333333333333 796.3333333333333 331 4 0.9975291210730675 0.9975291210730675
