 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 1 248 0.0 241.0 0 0 0.9717741935483871 0.9717741935483871
 2 399 80.0 276.0 0 0 0.9824561403508771 0.9824561403508771
 4 861 53.33333333333333 226.33333333333331 0 0 0.6027874564459931 0.6027874564459931
 5 984 77.75 223.0 9 0 0.5904471544715447 0.5904471544715447
 6 1097 65.60000000000001 216.60000000000002 18 0 0.6882406563354604 0.6882406563354604
 9 0 0 0 18 1 0 0
 7 1227 54.666666666666664 193.0 18 1 0.6764466177669112 0.6764466177669112
 8 1760 57.14285714285714 251.85714285714283 18 1 0.7744318181818182 0.7744318181818182
 3 2220 196.5 473.125 20 1 0.9968468468468469 0.9968468468468469
 10 3464 277.0 661.1111111111111 20 1 0.9979792147806005 0.9979792147806005
 10 3464 277.0 661.1111111111111 20 1 0.9979792147806005 0.9979792147806005
