 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 5 127 0.0 127.0 0 0 1.0 1.0
 7 346 0.0 150.5 0 0 0.869942196531792 0.869942196531792
 8 493 0.0 125.33333333333333 0 0 0.7626774847870182 0.7626774847870182
 11 654 0.0 94.25 0 0 0.5764525993883792 0.5764525993883792
 12 692 0.0 76.0 0 0 0.5491329479768786 0.5491329479768786
 13 773 0.0 70.0 0 0 0.5433376455368694 0.5433376455368694
 15 842 0.0 60.14285714285714 0 0 0.5 0.5
 27 0 0 0 0 1 0 0
 28 0 0 0 0 2 0 0
 29 0 0 0 0 3 0 0
 30 0 0 0 0 4 0 0
 32 0 0 0 0 5 0 0
 33 0 0 0 0 6 0 0
 34 0 0 0 0 7 0 0
 35 0 0 0 0 8 0 0
 36 0 0 0 0 9 0 0
 37 0 0 0 0 10 0 0
 38 0 0 0 0 11 0 0
 39 0 0 0 0 12 0 0
 41 0 0 0 0 13 0 0
 42 0 0 0 0 14 0 0
 43 0 0 0 0 15 0 0
 44 0 0 0 0 16 0 0
 45 0 0 0 0 17 0 0
 46 0 0 0 0 18 0 0
 47 0 0 0 0 19 0 0
 48 0 0 0 0 20 0 0
 49 0 0 0 0 21 0 0
 50 0 0 0 0 22 0 0
 51 0 0 0 0 23 0 0
 52 0 0 0 0 24 0 0
 53 0 0 0 0 25 0 0
 54 0 0 0 0 26 0 0
 55 0 0 0 0 27 0 0
 56 0 0 0 0 28 0 0
 57 0 0 0 0 29 0 0
 58 0 0 0 0 30 0 0
 61 0 0 0 0 31 0 0
 62 0 0 0 0 32 0 0
 63 0 0 0 0 33 0 0
 64 0 0 0 0 34 0 0
 17 916 1.75 62.0 4 34 0.5262008733624454 0.5262008733624454
 66 0 0 0 4 35 0 0
 25 1145 27.0 88.77777777777777 43 35 0.485589519650655 0.485589519650655
 19 1156 48.300000000000004 111.4 113 35 0.5458477508650519 0.5458477508650519
 26 1178 67.45454545454545 131.8181818181818 156 35 0.601018675721562 0.601018675721562
