 job_id  Cmax  Mean_waiting_time  Mean_bounded_slowndown  Mean_number_of_interruptions_per_job  Percentage_of_rejections  Competitive_factor  Utilization  Total_processing_time  Processing_Time_SLA_0 Processing_Time_SLA_1 Processing_Time_SLA_2
 2 239 0.0 1.0 0.0 0.0 0.5 0.5 151.0 1.0 0.0 0.0
 6 833 0.0 1.0 0.0 0.0 0.1429530201342282 0.1429530201342282 213.0 1.0 0.0 0.0
 5 923 20.666666666666664 1.1627296587926508 0.3333333333333333 0.0 0.20359281437125748 0.20359281437125748 340.0 1.0 0.0 0.0
 7 1097 19.75 1.14647253145081 0.25 0.0 0.2547076313181368 0.2547076313181368 514.0 1.0 0.0 0.0
 8 1227 15.8 1.117178025160648 0.2 0.0 0.2585601404741001 0.2585601404741001 589.0 1.0 0.0 0.0
 10 1347 13.166666666666666 1.09764835430054 0.16666666666666666 0.0 0.2998411437648928 0.2998411437648928 755.0 1.0 0.0 0.0
 11 1388 11.285714285714285 0.9551271608290341 0.14285714285714285 0.0 0.2907692307692308 0.2907692307692308 756.0 1.0 0.0 0.0
 12 1426 9.875 0.8732362657254049 0.125 0.0 0.2836322869955157 0.2836322869955157 759.0 1.0 0.0 0.0
 13 1507 8.777777777777777 0.8873211250892488 0.1111111111111111 0.0 0.28153629316420015 0.28153629316420015 799.0 1.0 0.0 0.0
 21 0 0 0 1 1 0 0 0 0 0 0
 22 0 0 0 1 2 0 0 0 0 0 0
 15 1576 7.9 0.8085890125803239 0.1 16.666666666666664 0.26881720430107525 0.26881720430107525 800.0 1.0 0.0 0.0
 24 0 0 0 1 3 0 0 0 0 0 0
 25 0 0 0 1 4 0 0 0 0 0 0
 26 0 0 0 1 5 0 0 0 0 0 0
 27 0 0 0 1 6 0 0 0 0 0 0
 28 0 0 0 1 7 0 0 0 0 0 0
 29 0 0 0 1 8 0 0 0 0 0 0
 30 0 0 0 1 9 0 0 0 0 0 0
 32 0 0 0 1 10 0 0 0 0 0 0
 33 0 0 0 1 11 0 0 0 0 0 0
 34 0 0 0 1 12 0 0 0 0 0 0
 35 0 0 0 1 13 0 0 0 0 0 0
 36 0 0 0 1 14 0 0 0 0 0 0
 37 0 0 0 1 15 0 0 0 0 0 0
 38 0 0 0 1 16 0 0 0 0 0 0
 39 0 0 0 1 17 0 0 0 0 0 0
 40 0 0 0 1 18 0 0 0 0 0 0
 41 0 0 0 1 19 0 0 0 0 0 0
 42 0 0 0 1 20 0 0 0 0 0 0
 43 0 0 0 1 21 0 0 0 0 0 0
 44 0 0 0 1 22 0 0 0 0 0 0
 45 0 0 0 1 23 0 0 0 0 0 0
 46 0 0 0 1 24 0 0 0 0 0 0
 47 0 0 0 1 25 0 0 0 0 0 0
 48 0 0 0 1 26 0 0 0 0 0 0
 49 0 0 0 1 27 0 0 0 0 0 0
 50 0 0 0 1 28 0 0 0 0 0 0
 51 0 0 0 1 29 0 0 0 0 0 0
 52 0 0 0 1 30 0 0 0 0 0 0
 53 0 0 0 1 31 0 0 0 0 0 0
 54 0 0 0 1 32 0 0 0 0 0 0
 55 0 0 0 1 33 0 0 0 0 0 0
 56 0 0 0 1 34 0 0 0 0 0 0
 57 0 0 0 1 35 0 0 0 0 0 0
 58 0 0 0 1 36 0 0 0 0 0 0
 59 0 0 0 1 37 0 0 0 0 0 0
 61 0 0 0 1 38 0 0 0 0 0 0
 62 0 0 0 1 39 0 0 0 0 0 0
 63 0 0 0 1 40 0 0 0 0 0 0
 64 0 0 0 1 41 0 0 0 0 0 0
 17 1637 7.272727272727273 0.8274803244023808 0.09090909090909091 78.84615384615385 0.2779212395093609 0.2779212395093609 861.0 1.0 0.0 0.0
 18 1647 6.666666666666666 0.8418569640355158 0.08333333333333333 77.35849056603773 0.29923027581783196 0.29923027581783196 933.0 1.0 0.0 0.0
 16 1698 10.923076923076923 0.932205923926857 0.07692307692307693 75.92592592592592 0.30869565217391304 0.30869565217391304 994.0 1.0 0.0 0.0
