 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 1 248 0.0 241.0 0 0 0.9717741935483871 0.9717741935483871
 2 487 124.0 320.0 44 0 0.8049281314168378 0.8049281314168378
 4 0 0 0 44 1 0 0
 5 0 0 0 44 2 0 0
 8 0 0 0 44 3 0 0
 9 0 0 0 44 4 0 0
 3 1249 149.66666666666666 563.6666666666666 88 4 0.9943955164131305 0.9943955164131305
 7 1324 136.5 465.75 88 4 0.9947129909365559 0.9947129909365559
 6 1498 192.8 491.0 88 4 0.9953271028037384 0.9953271028037384
 10 2742 193.83333333333331 649.6666666666666 88 4 0.9974471188913202 0.9974471188913202
 10 2742 193.83333333333331 649.6666666666666 88 4 0.9974471188913202 0.9974471188913202
