 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 1 248 0.0 241.0 0 0 0.9717741935483871 0.9717741935483871
 2 638 199.5 395.5 75 0 0.6144200626959248 0.6144200626959248
 4 0 0 0 75 1 0 0
 5 0 0 0 75 2 0 0
 6 0 0 0 75 3 0 0
 9 0 0 0 75 4 0 0
 3 1249 200.0 614.0 151 4 0.9943955164131305 0.9943955164131305
 10 0 0 0 151 5 0 0
 7 1324 174.25 503.5 151 5 0.9947129909365559 0.9947129909365559
 8 1857 173.20000000000002 543.2 151 5 0.996230479267636 0.996230479267636
 8 1857 173.20000000000002 543.2 151 5 0.996230479267636 0.996230479267636
