 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 239 0.0 151.0 0 0 0.6317991631799164 0.6317991631799164
 1 399 75.5 271.5 1 0 0.9824561403508771 0.9824561403508771
 4 864 51.33333333333333 224.33333333333331 3 0 0.6006944444444444 0.6006944444444444
 5 923 61.0 206.25 5 0 0.6294691224268689 0.6294691224268689
 6 1097 52.2 203.20000000000002 5 0 0.6882406563354604 0.6882406563354604
 9 0 0 0 5 1 0 0
 7 1227 43.5 181.83333333333331 5 1 0.6764466177669112 0.6764466177669112
 8 1760 47.57142857142857 242.28571428571428 5 1 0.7744318181818182 0.7744318181818182
 3 2220 188.125 464.75 7 1 0.9968468468468469 0.9968468468468469
 10 3464 269.55555555555554 653.6666666666666 7 1 0.9979792147806005 0.9979792147806005
 10 3464 269.55555555555554 653.6666666666666 7 1 0.9979792147806005 0.9979792147806005
