 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 478 239.0 390.0 21 0 0.3158995815899582 0.3158995815899582
 4 0 0 0 21 1 0 0
 5 0 0 0 21 2 0 0
 6 0 0 0 21 3 0 0
 1 917 454.0 650.0 102 3 0.42748091603053434 0.42748091603053434
 8 0 0 0 102 4 0 0
 3 1249 369.66666666666663 783.6666666666666 204 4 0.9943955164131305 0.9943955164131305
 7 1324 301.5 630.75 204 4 0.9947129909365559 0.9947129909365559
 9 1662 304.2 600.8000000000001 286 4 0.8922984356197352 0.8922984356197352
 10 2734 285.3333333333333 739.8333333333333 369 4 0.9974396488661302 0.9974396488661302
 10 2734 285.3333333333333 739.8333333333333 369 4 0.9974396488661302 0.9974396488661302
