 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 1 248 0.0 241.0 0 0 0.9717741935483871 0.9717741935483871
 2 638 199.5 395.5 75 0 0.6144200626959248 0.6144200626959248
 4 0 0 0 75 1 0 0
 5 0 0 0 75 2 0 0
 7 0 0 0 75 3 0 0
 3 1249 200.0 614.0 151 3 0.9943955164131305 0.9943955164131305
 10 0 0 0 151 4 0 0
 6 1423 235.75 589.75 151 4 0.9950808151791989 0.9950808151791989
 9 1589 237.0 553.4 151 4 0.9955947136563876 0.9955947136563876
 8 2122 269.8333333333333 622.3333333333333 151 4 0.9967012252591895 0.9967012252591895
 8 2122 269.8333333333333 622.3333333333333 151 4 0.9967012252591895 0.9967012252591895
