 job_id  Cmax  Mean_waiting_time  Mean_bounded_slowndown  Mean_number_of_interruptions_per_job  Percentage_of_rejections  Competitive_factor  Utilization 
 2 239 0.0 1.0 0.0 0.0 0.5 0.5
 6 833 0.0 1.0 0.0 0.0 0.1429530201342282 0.1429530201342282
 5 923 20.666666666666664 1.1627296587926508 0.3333333333333333 0.0 0.20359281437125748 0.20359281437125748
 7 1080 15.5 1.1220472440944882 0.25 0.0 0.2590725806451613 0.2590725806451613
 8 1227 12.4 1.0976377952755907 0.2 0.0 0.2585601404741001 0.2585601404741001
 10 1347 10.333333333333332 1.0813648293963254 0.16666666666666666 0.0 0.2998411437648928 0.2998411437648928
 11 1388 8.857142857142856 0.9411698537682789 0.14285714285714285 0.0 0.2907692307692308 0.2907692307692308
 12 1426 7.75 0.861023622047244 0.125 0.0 0.2836322869955157 0.2836322869955157
 13 1507 6.888888888888888 0.8764654418197724 0.1111111111111111 0.0 0.28153629316420015 0.28153629316420015
 19 0 0 0 1 1 0 0
 20 0 0 0 1 2 0 0
 21 0 0 0 1 3 0 0
 22 0 0 0 1 4 0 0
 23 0 0 0 1 5 0 0
 15 1576 6.2 0.7988188976377952 0.1 33.33333333333333 0.26881720430107525 0.26881720430107525
 24 0 0 0 1 6 0 0
 25 0 0 0 1 7 0 0
 26 0 0 0 1 8 0 0
 27 0 0 0 1 9 0 0
 28 0 0 0 1 10 0 0
 29 0 0 0 1 11 0 0
 30 0 0 0 1 12 0 0
 31 0 0 0 1 13 0 0
 32 0 0 0 1 14 0 0
 33 0 0 0 1 15 0 0
 34 0 0 0 1 16 0 0
 35 0 0 0 1 17 0 0
 36 0 0 0 1 18 0 0
 37 0 0 0 1 19 0 0
 38 0 0 0 1 20 0 0
 39 0 0 0 1 21 0 0
 41 0 0 0 1 22 0 0
 42 0 0 0 1 23 0 0
 43 0 0 0 1 24 0 0
 44 0 0 0 1 25 0 0
 45 0 0 0 1 26 0 0
 46 0 0 0 1 27 0 0
 47 0 0 0 1 28 0 0
 48 0 0 0 1 29 0 0
 49 0 0 0 1 30 0 0
 50 0 0 0 1 31 0 0
 51 0 0 0 1 32 0 0
 52 0 0 0 1 33 0 0
 53 0 0 0 1 34 0 0
 54 0 0 0 1 35 0 0
 55 0 0 0 1 36 0 0
 56 0 0 0 1 37 0 0
 57 0 0 0 1 38 0 0
 58 0 0 0 1 39 0 0
 60 0 0 0 1 40 0 0
 61 0 0 0 1 41 0 0
 62 0 0 0 1 42 0 0
 63 0 0 0 1 43 0 0
 64 0 0 0 1 44 0 0
 16 1636 5.636363636363637 0.817108088761632 0.09090909090909091 80.0 0.27810077519379844 0.27810077519379844
 17 1637 5.25 0.8337152015834085 0.08333333333333333 78.57142857142857 0.29761136216914136 0.29761136216914136
 14 1696 9.615384615384617 0.8989154692553526 0.15384615384615385 77.19298245614034 0.3149875621890547 0.3149875621890547
 18 1708 13.285714285714285 0.9666516658958432 0.14285714285714285 75.86206896551724 0.33487654320987653 0.33487654320987653
 40 1816 20.333333333333332 1.0349859992805648 0.13333333333333333 74.57627118644068 0.34866898148148145 0.34866898148148145
 59 1844 27.125 1.0920824625608236 0.125 73.33333333333333 0.38183371298405466 0.38183371298405466
 66 1875 25.52941176470588 1.0866658471160693 0.11764705882352941 72.1311475409836 0.38752098489087855 0.38752098489087855
 68 2061 24.11111111111111 1.0318510778318433 0.1111111111111111 70.96774193548387 0.3512417638114546 0.3512417638114546
 65 2071 27.52631578947368 1.0523747552021305 0.15789473684210525 69.84126984126983 0.402672718103883 0.402672718103883
 9 2071 45.300000000000004 1.0856847228829245 0.35000000000000003 68.75 0.5370650529500757 0.5370650529500757
 69 2091 43.14285714285714 1.0482711646504044 0.3333333333333333 67.6923076923077 0.5324513230154768 0.5324513230154768
 73 0 0 0 7 45 0 0
 74 0 0 0 7 46 0 0
 75 0 0 0 7 47 0 0
 76 0 0 0 7 48 0 0
 77 0 0 0 7 49 0 0
 78 0 0 0 7 50 0 0
 79 0 0 0 7 51 0 0
 80 0 0 0 7 52 0 0
 81 0 0 0 7 53 0 0
 82 0 0 0 7 54 0 0
 83 0 0 0 7 55 0 0
 84 0 0 0 7 56 0 0
 85 0 0 0 7 57 0 0
 86 0 0 0 7 58 0 0
 87 0 0 0 7 59 0 0
 88 0 0 0 7 60 0 0
 89 0 0 0 7 61 0 0
 90 0 0 0 7 62 0 0
 91 0 0 0 7 63 0 0
 92 0 0 0 7 64 0 0
 93 0 0 0 7 65 0 0
 94 0 0 0 7 66 0 0
 95 0 0 0 7 67 0 0
 97 0 0 0 7 68 0 0
 98 0 0 0 7 69 0 0
 99 0 0 0 7 70 0 0
 100 0 0 0 7 71 0 0
 101 0 0 0 7 72 0 0
 102 0 0 0 7 73 0 0
 103 0 0 0 7 74 0 0
 104 0 0 0 7 75 0 0
 105 0 0 0 7 76 0 0
 106 0 0 0 7 77 0 0
 107 0 0 0 7 78 0 0
 108 0 0 0 7 79 0 0
 109 0 0 0 7 80 0 0
 110 0 0 0 7 81 0 0
 111 0 0 0 7 82 0 0
 112 0 0 0 7 83 0 0
 113 0 0 0 7 84 0 0
 114 0 0 0 7 85 0 0
 115 0 0 0 7 86 0 0
 116 0 0 0 7 87 0 0
 117 0 0 0 7 88 0 0
 118 0 0 0 7 89 0 0
 119 0 0 0 7 90 0 0
 120 0 0 0 7 91 0 0
 121 0 0 0 7 92 0 0
 122 0 0 0 7 93 0 0
 123 0 0 0 7 94 0 0
 124 0 0 0 7 95 0 0
 125 0 0 0 7 96 0 0
 126 0 0 0 7 97 0 0
 127 0 0 0 7 98 0 0
 128 0 0 0 7 99 0 0
 129 0 0 0 7 100 0 0
 130 0 0 0 7 101 0 0
 131 0 0 0 7 102 0 0
 132 0 0 0 7 103 0 0
 133 0 0 0 7 104 0 0
 134 0 0 0 7 105 0 0
 135 0 0 0 7 106 0 0
 136 0 0 0 7 107 0 0
 137 0 0 0 7 108 0 0
 138 0 0 0 7 109 0 0
 139 0 0 0 7 110 0 0
 140 0 0 0 7 111 0 0
 141 0 0 0 7 112 0 0
 142 0 0 0 7 113 0 0
 144 0 0 0 7 114 0 0
 145 0 0 0 7 115 0 0
 146 0 0 0 7 116 0 0
 147 0 0 0 7 117 0 0
 148 0 0 0 7 118 0 0
 149 0 0 0 7 119 0 0
 150 0 0 0 7 120 0 0
 151 0 0 0 7 121 0 0
 152 0 0 0 7 122 0 0
 153 0 0 0 7 123 0 0
 154 0 0 0 7 124 0 0
 155 0 0 0 7 125 0 0
 156 0 0 0 7 126 0 0
 157 0 0 0 7 127 0 0
 158 0 0 0 7 128 0 0
 159 0 0 0 7 129 0 0
 160 0 0 0 7 130 0 0
 161 0 0 0 7 131 0 0
 162 0 0 0 7 132 0 0
 163 0 0 0 7 133 0 0
 164 0 0 0 7 134 0 0
 165 0 0 0 7 135 0 0
 166 0 0 0 7 136 0 0
 167 0 0 0 7 137 0 0
 168 0 0 0 7 138 0 0
 169 0 0 0 7 139 0 0
 170 0 0 0 7 140 0 0
 171 0 0 0 7 141 0 0
 172 0 0 0 7 142 0 0
 173 0 0 0 7 143 0 0
 174 0 0 0 7 144 0 0
 175 0 0 0 7 145 0 0
 176 0 0 0 7 146 0 0
 177 0 0 0 7 147 0 0
 178 0 0 0 7 148 0 0
 179 0 0 0 7 149 0 0
 180 0 0 0 7 150 0 0
 181 0 0 0 7 151 0 0
 182 0 0 0 7 152 0 0
 183 0 0 0 7 153 0 0
 184 0 0 0 7 154 0 0
 185 0 0 0 7 155 0 0
 186 0 0 0 7 156 0 0
 187 0 0 0 7 157 0 0
 188 0 0 0 7 158 0 0
 189 0 0 0 7 159 0 0
 190 0 0 0 7 160 0 0
 191 0 0 0 7 161 0 0
 192 0 0 0 7 162 0 0
 193 0 0 0 7 163 0 0
 194 0 0 0 7 164 0 0
 195 0 0 0 7 165 0 0
 196 0 0 0 7 166 0 0
 197 0 0 0 7 167 0 0
 198 0 0 0 7 168 0 0
 199 0 0 0 7 169 0 0
 200 0 0 0 7 170 0 0
 201 0 0 0 7 171 0 0
 202 0 0 0 7 172 0 0
 203 0 0 0 7 173 0 0
 204 0 0 0 7 174 0 0
 205 0 0 0 7 175 0 0
 206 0 0 0 7 176 0 0
 207 0 0 0 7 177 0 0
 208 0 0 0 7 178 0 0
 209 0 0 0 7 179 0 0
 210 0 0 0 7 180 0 0
 211 0 0 0 7 181 0 0
 212 0 0 0 7 182 0 0
 213 0 0 0 7 183 0 0
 214 0 0 0 7 184 0 0
 215 0 0 0 7 185 0 0
 216 0 0 0 7 186 0 0
 217 0 0 0 7 187 0 0
 218 0 0 0 7 188 0 0
 219 0 0 0 7 189 0 0
 96 2299 41.18181818181818 1.0460770208026586 0.3181818181818182 89.57345971563981 0.49344188150158297 0.49344188150158297
 72 2307 39.391304347826086 1.0440736720721082 0.30434782608695654 89.15094339622641 0.5049571879224876 0.5049571879224876
