 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 151 0.0 151.0 0 0 1.0 1.0
 6 745 0.0 106.5 0 0 0.2859060402684564 0.2859060402684564
 5 773 0.0 113.33333333333333 0 0 0.4398447606727037 0.4398447606727037
 7 992 0.0 128.5 0 0 0.5181451612903226 0.5181451612903226
 8 1139 0.0 117.80000000000001 0 0 0.5171202809482002 0.5171202809482002
 10 1259 0.0 125.83333333333333 0 0 0.5996822875297856 0.5996822875297856
 11 1300 0.0 108.0 0 0 0.5815384615384616 0.5815384615384616
 12 1338 0.0 94.875 0 0 0.5672645739910314 0.5672645739910314
 13 1419 0.0 88.77777777777777 0 0 0.5630725863284003 0.5630725863284003
 15 1488 0.0 80.0 0 0 0.5376344086021505 0.5376344086021505
 27 0 0 0 0 1 0 0
 28 0 0 0 0 2 0 0
 29 0 0 0 0 3 0 0
 30 0 0 0 0 4 0 0
 32 0 0 0 0 5 0 0
 33 0 0 0 0 6 0 0
 34 0 0 0 0 7 0 0
 35 0 0 0 0 8 0 0
 36 0 0 0 0 9 0 0
 37 0 0 0 0 10 0 0
 38 0 0 0 0 11 0 0
 39 0 0 0 0 12 0 0
 41 0 0 0 0 13 0 0
 42 0 0 0 0 14 0 0
 43 0 0 0 0 15 0 0
 44 0 0 0 0 16 0 0
 45 0 0 0 0 17 0 0
 46 0 0 0 0 18 0 0
 47 0 0 0 0 19 0 0
 48 0 0 0 0 20 0 0
 49 0 0 0 0 21 0 0
 50 0 0 0 0 22 0 0
 51 0 0 0 0 23 0 0
 52 0 0 0 0 24 0 0
 53 0 0 0 0 25 0 0
 54 0 0 0 0 26 0 0
 55 0 0 0 0 27 0 0
 56 0 0 0 0 28 0 0
 57 0 0 0 0 29 0 0
 58 0 0 0 0 30 0 0
 61 0 0 0 0 31 0 0
 62 0 0 0 0 32 0 0
 63 0 0 0 0 33 0 0
 64 0 0 0 0 34 0 0
 16 1548 0.0 78.27272727272728 0 34 0.5562015503875969 0.5562015503875969
 17 1562 1.1666666666666665 78.0 4 34 0.5902688860435339 0.5902688860435339
 24 1614 5.6923076923076925 81.6923076923077 4 34 0.6121437422552665 0.6121437422552665
 18 1686 14.357142857142856 90.07142857142857 4 34 0.6287069988137604 0.6287069988137604
 66 0 0 0 4 35 0 0
 20 1768 26.666666666666668 102.8 4 35 0.6459276018099548 0.6459276018099548
 25 1791 39.3125 115.3125 43 35 0.6789503070910106 0.6789503070910106
 19 1802 51.11764705882353 127.05882352941177 113 35 0.7164261931187569 0.7164261931187569
 26 1824 62.666666666666664 138.66666666666666 156 35 0.75 0.75
 14 1884 77.1578947368421 153.94736842105263 157 35 0.774416135881104 0.774416135881104
 22 1889 89.2 166.35000000000002 210 35 0.8168343038644785 0.8168343038644785
 21 1910 101.14285714285714 178.57142857142856 211 35 0.8513089005235602 0.8513089005235602
 31 1959 113.54545454545455 191.86363636363637 228 35 0.8795303726391016 0.8795303726391016
 68 1973 108.6086956521739 183.56521739130434 228 35 0.8737962493664471 0.8737962493664471
 69 2005 104.16666666666666 176.125 229 35 0.8613466334164589 0.8613466334164589
 23 2026 116.92 190.64000000000001 229 35 0.9096742349457059 0.9096742349457059
 40 2080 130.53846153846155 206.03846153846155 234 35 0.94375 0.94375
 79 0 0 0 234 36 0 0
 83 0 0 0 234 37 0 0
 84 0 0 0 234 38 0 0
 85 0 0 0 234 39 0 0
 86 0 0 0 234 40 0 0
 87 0 0 0 234 41 0 0
 88 0 0 0 234 42 0 0
 89 0 0 0 234 43 0 0
 90 0 0 0 234 44 0 0
 91 0 0 0 234 45 0 0
 59 2162 145.5185185185185 223.25925925925924 234 45 0.9708603145235892 0.9708603145235892
 92 0 0 0 234 46 0 0
 93 0 0 0 234 47 0 0
 94 0 0 0 234 48 0 0
 95 0 0 0 234 49 0 0
 96 0 0 0 234 50 0 0
 97 0 0 0 234 51 0 0
 98 0 0 0 234 52 0 0
 99 0 0 0 234 53 0 0
 100 0 0 0 234 54 0 0
 101 0 0 0 234 55 0 0
 102 0 0 0 234 56 0 0
 103 0 0 0 234 57 0 0
 104 0 0 0 234 58 0 0
 105 0 0 0 234 59 0 0
 106 0 0 0 234 60 0 0
 107 0 0 0 234 61 0 0
 108 0 0 0 234 62 0 0
 109 0 0 0 234 63 0 0
 110 0 0 0 234 64 0 0
 111 0 0 0 234 65 0 0
 112 0 0 0 234 66 0 0
 113 0 0 0 234 67 0 0
 114 0 0 0 234 68 0 0
 115 0 0 0 234 69 0 0
 116 0 0 0 234 70 0 0
 117 0 0 0 234 71 0 0
 118 0 0 0 234 72 0 0
 119 0 0 0 234 73 0 0
 120 0 0 0 234 74 0 0
 121 0 0 0 234 75 0 0
 122 0 0 0 234 76 0 0
 123 0 0 0 234 77 0 0
 124 0 0 0 234 78 0 0
 125 0 0 0 234 79 0 0
 126 0 0 0 234 80 0 0
 127 0 0 0 234 81 0 0
 128 0 0 0 234 82 0 0
 129 0 0 0 234 83 0 0
 130 0 0 0 234 84 0 0
 131 0 0 0 234 85 0 0
 132 0 0 0 234 86 0 0
 133 0 0 0 234 87 0 0
 134 0 0 0 234 88 0 0
 135 0 0 0 234 89 0 0
 136 0 0 0 234 90 0 0
 137 0 0 0 234 91 0 0
 138 0 0 0 234 92 0 0
 139 0 0 0 234 93 0 0
 140 0 0 0 234 94 0 0
 141 0 0 0 234 95 0 0
 142 0 0 0 234 96 0 0
 144 0 0 0 234 97 0 0
 145 0 0 0 234 98 0 0
 146 0 0 0 234 99 0 0
 147 0 0 0 234 100 0 0
 148 0 0 0 234 101 0 0
 149 0 0 0 234 102 0 0
 150 0 0 0 234 103 0 0
 151 0 0 0 234 104 0 0
 152 0 0 0 234 105 0 0
 153 0 0 0 234 106 0 0
 154 0 0 0 234 107 0 0
 155 0 0 0 234 108 0 0
 156 0 0 0 234 109 0 0
 157 0 0 0 234 110 0 0
 158 0 0 0 234 111 0 0
 159 0 0 0 234 112 0 0
 160 0 0 0 234 113 0 0
 161 0 0 0 234 114 0 0
 162 0 0 0 234 115 0 0
 163 0 0 0 234 116 0 0
 164 0 0 0 234 117 0 0
 165 0 0 0 234 118 0 0
 166 0 0 0 234 119 0 0
 167 0 0 0 234 120 0 0
 168 0 0 0 234 121 0 0
 169 0 0 0 234 122 0 0
 170 0 0 0 234 123 0 0
 171 0 0 0 234 124 0 0
 172 0 0 0 234 125 0 0
 173 0 0 0 234 126 0 0
 174 0 0 0 234 127 0 0
 175 0 0 0 234 128 0 0
 176 0 0 0 234 129 0 0
 177 0 0 0 234 130 0 0
 178 0 0 0 234 131 0 0
 179 0 0 0 234 132 0 0
 180 0 0 0 234 133 0 0
 181 0 0 0 234 134 0 0
 182 0 0 0 234 135 0 0
 183 0 0 0 234 136 0 0
 184 0 0 0 234 137 0 0
 185 0 0 0 234 138 0 0
 186 0 0 0 234 139 0 0
 187 0 0 0 234 140 0 0
 188 0 0 0 234 141 0 0
 189 0 0 0 234 142 0 0
 190 0 0 0 234 143 0 0
 191 0 0 0 234 144 0 0
 192 0 0 0 234 145 0 0
 193 0 0 0 234 146 0 0
 194 0 0 0 234 147 0 0
 195 0 0 0 234 148 0 0
 196 0 0 0 234 149 0 0
 197 0 0 0 234 150 0 0
 198 0 0 0 234 151 0 0
 199 0 0 0 234 152 0 0
 200 0 0 0 234 153 0 0
 201 0 0 0 234 154 0 0
 202 0 0 0 234 155 0 0
 203 0 0 0 234 156 0 0
 204 0 0 0 234 157 0 0
 205 0 0 0 234 158 0 0
 206 0 0 0 234 159 0 0
 207 0 0 0 234 160 0 0
 208 0 0 0 234 161 0 0
 209 0 0 0 234 162 0 0
 210 0 0 0 234 163 0 0
 211 0 0 0 234 164 0 0
 212 0 0 0 234 165 0 0
 213 0 0 0 234 166 0 0
 214 0 0 0 234 167 0 0
 215 0 0 0 234 168 0 0
 216 0 0 0 234 169 0 0
 217 0 0 0 234 170 0 0
 218 0 0 0 234 171 0 0
 219 0 0 0 234 172 0 0
 73 2222 140.39285714285714 217.5 234 172 0.9716471647164716 0.9716471647164716
 60 2245 155.86206896551724 236.0 234 172 1.0351893095768374 1.0351893095768374
 75 2300 152.73333333333332 232.79999999999998 234 172 1.0443478260869565 1.0443478260869565
 72 2345 151.8709677419355 231.25806451612902 251 172 1.0494669509594883 1.0494669509594883
 76 2382 151.5 230.96875 251 172 1.0675902602854743 1.0675902602854743
 82 2406 152.36363636363637 231.3939393939394 285 172 1.083956774729842 1.083956774729842
 74 2457 154.5 233.3235294117647 313 172 1.0907610907610907 1.0907610907610907
 77 2466 156.42857142857142 235.4 313 172 1.1208434712084347 1.1208434712084347
 78 2552 160.58333333333331 239.75 313 172 1.1167711598746082 1.1167711598746082
 71 2588 165.51351351351352 244.86486486486487 352 172 1.1344667697063369 1.1344667697063369
 80 2664 171.4736842105263 251.68421052631578 352 172 1.1441441441441442 1.1441441441441442
 65 2738 188.7179487179487 272.28205128205127 383 172 1.1902848794740686 1.1902848794740686
 81 2791 196.60000000000002 281.25 383 172 1.2131852382658546 1.2131852382658546
 143 2941 206.78048780487805 293.2439024390244 405 172 1.2053723223393404 1.2053723223393404
 223 2975 208.76190476190476 295.0238095238095 427 172 1.2178151260504202 1.2178151260504202
 225 3021 203.90697674418604 289.06976744186045 427 172 1.2121813968884476 1.2121813968884476
 226 3075 199.27272727272728 283.97727272727275 427 172 1.2120325203252031 1.2120325203252031
 9 3141 229.0888888888889 323.7555555555556 430 172 1.3562559694364853 1.3562559694364853
 227 3146 224.52173913043478 318.67391304347825 430 172 1.3766687857596949 1.3766687857596949
 224 3312 229.4468085106383 325.8723404255319 431 172 1.3683574879227054 1.3683574879227054
 231 3532 224.66666666666666 319.41666666666663 431 172 1.2876557191392979 1.2876557191392979
 230 3534 220.0816326530612 313.2857142857143 431 172 1.2923033389926428 1.2923033389926428
 229 3538 216.0 308.5 432 172 1.3072357263990955 1.3072357263990955
 233 3587 211.92156862745097 302.921568627451 436 172 1.2938388625592416 1.2938388625592416
 232 3596 208.15384615384616 297.75 441 172 1.2956062291434927 1.2956062291434927
 235 3616 204.22641509433961 292.4339622641509 441 172 1.2928650442477876 1.2928650442477876
 234 3617 200.44444444444443 287.3703703703704 441 172 1.2977605750622063 1.2977605750622063
 239 3653 196.79999999999998 282.45454545454544 441 172 1.2896249657815495 1.2896249657815495
 238 3654 193.28571428571428 277.75 441 172 1.294471811713191 1.294471811713191
 240 3688 189.89473684210526 273.1578947368421 441 172 1.2868763557483731 1.2868763557483731
 241 3689 186.6206896551724 268.7241379310345 441 172 1.2908647329899703 1.2908647329899703
 242 3722 183.45762711864407 264.40677966101697 441 172 1.2831810854379366 1.2831810854379366
 243 3723 180.4 260.23333333333335 441 172 1.286596830513027 1.286596830513027
 237 3738 178.21311475409837 257.7377049180328 444 172 1.297752808988764 1.297752808988764
 221 3792 191.19354838709677 274.2741935483871 448 172 1.3583860759493671 1.3583860759493671
 4 4130 231.4126984126984 327.46031746031747 455 172 1.4651331719128329 1.4651331719128329
 245 4230 227.796875 322.671875 455 172 1.4354609929078015 1.4354609929078015
 246 4297 224.2923076923077 318.03076923076924 455 172 1.4179660228066093 1.4179660228066093
 247 4351 220.8939393939394 313.53030303030306 455 172 1.4051942082279936 1.4051942082279936
 248 4417 217.59701492537312 309.1641791044776 455 172 1.3889517772243605 1.3889517772243605
 244 4613 214.70588235294116 313.7352941176471 456 172 1.4597875569044005 1.4597875569044005
 250 4813 211.59420289855072 309.536231884058 456 172 1.4041138583004362 1.4041138583004362
 251 4893 208.57142857142856 305.85714285714283 456 172 1.3917841814837524 1.3917841814837524
 253 4973 205.6338028169014 301.5633802816902 456 172 1.3695958174140357 1.3695958174140357
 254 5001 202.77777777777777 297.41666666666663 456 172 1.3625274945011 1.3625274945011
 267 0 0 0 456 173 0 0
 268 0 0 0 456 174 0 0
 269 0 0 0 456 175 0 0
 270 0 0 0 456 176 0 0
 271 0 0 0 456 177 0 0
 272 0 0 0 456 178 0 0
 273 0 0 0 456 179 0 0
 275 0 0 0 456 180 0 0
 276 0 0 0 456 181 0 0
 277 0 0 0 456 182 0 0
 278 0 0 0 456 183 0 0
 279 0 0 0 456 184 0 0
 280 0 0 0 456 185 0 0
 281 0 0 0 456 186 0 0
 282 0 0 0 456 187 0 0
 283 0 0 0 456 188 0 0
 284 0 0 0 456 189 0 0
 285 0 0 0 456 190 0 0
 286 0 0 0 456 191 0 0
 287 0 0 0 456 192 0 0
 288 0 0 0 456 193 0 0
 289 0 0 0 456 194 0 0
 290 0 0 0 456 195 0 0
 291 0 0 0 456 196 0 0
 292 0 0 0 456 197 0 0
 293 0 0 0 456 198 0 0
 294 0 0 0 456 199 0 0
 295 0 0 0 456 200 0 0
 296 0 0 0 456 201 0 0
 297 0 0 0 456 202 0 0
 298 0 0 0 456 203 0 0
 299 0 0 0 456 204 0 0
 300 0 0 0 456 205 0 0
 301 0 0 0 456 206 0 0
 302 0 0 0 456 207 0 0
 303 0 0 0 456 208 0 0
 304 0 0 0 456 209 0 0
 305 0 0 0 456 210 0 0
 306 0 0 0 456 211 0 0
 307 0 0 0 456 212 0 0
 308 0 0 0 456 213 0 0
 309 0 0 0 456 214 0 0
 310 0 0 0 456 215 0 0
 311 0 0 0 456 216 0 0
 312 0 0 0 456 217 0 0
 313 0 0 0 456 218 0 0
 314 0 0 0 456 219 0 0
 315 0 0 0 456 220 0 0
 316 0 0 0 456 221 0 0
 317 0 0 0 456 222 0 0
 318 0 0 0 456 223 0 0
 319 0 0 0 456 224 0 0
 320 0 0 0 456 225 0 0
 321 0 0 0 456 226 0 0
 322 0 0 0 456 227 0 0
 323 0 0 0 456 228 0 0
 324 0 0 0 456 229 0 0
 325 0 0 0 456 230 0 0
 326 0 0 0 456 231 0 0
 327 0 0 0 456 232 0 0
 328 0 0 0 456 233 0 0
 329 0 0 0 456 234 0 0
 330 0 0 0 456 235 0 0
 331 0 0 0 456 236 0 0
 332 0 0 0 456 237 0 0
 333 0 0 0 456 238 0 0
 334 0 0 0 456 239 0 0
 335 0 0 0 456 240 0 0
 336 0 0 0 456 241 0 0
 337 0 0 0 456 242 0 0
 338 0 0 0 456 243 0 0
 339 0 0 0 456 244 0 0
 340 0 0 0 456 245 0 0
 341 0 0 0 456 246 0 0
 342 0 0 0 456 247 0 0
 343 0 0 0 456 248 0 0
 344 0 0 0 456 249 0 0
 345 0 0 0 456 250 0 0
 346 0 0 0 456 251 0 0
 347 0 0 0 456 252 0 0
 348 0 0 0 456 253 0 0
 349 0 0 0 456 254 0 0
 350 0 0 0 456 255 0 0
 351 0 0 0 456 256 0 0
 352 0 0 0 456 257 0 0
 353 0 0 0 456 258 0 0
 354 0 0 0 456 259 0 0
 355 0 0 0 456 260 0 0
 356 0 0 0 456 261 0 0
 357 0 0 0 456 262 0 0
 358 0 0 0 456 263 0 0
 359 0 0 0 456 264 0 0
 360 0 0 0 456 265 0 0
 361 0 0 0 456 266 0 0
