 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 0 0 0 0 1 0 0
 1 248 0.0 241.0 0 1 0.9717741935483871 0.9717741935483871
 5 0 0 0 0 2 0 0
 4 861 0.0 184.0 0 2 0.4274099883855981 0.4274099883855981
 6 1080 0.0 180.66666666666666 0 2 0.5018518518518519 0.5018518518518519
 9 0 0 0 0 3 0 0
 7 1289 15.5 169.75 31 3 0.4786656322730799 0.4786656322730799
 8 1760 26.8 256.8 62 3 0.6534090909090909 0.6534090909090909
 3 2007 182.16666666666666 515.5 65 3 0.9965122072745392 0.9965122072745392
 10 3251 257.2857142857143 720.7142857142857 65 3 0.9978468163641956 0.9978468163641956
 10 3251 257.2857142857143 720.7142857142857 65 3 0.9978468163641956 0.9978468163641956
