 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 239 0.0 151.0 0 0 0.6317991631799164 0.6317991631799164
 1 399 75.5 271.5 1 0 0.9824561403508771 0.9824561403508771
 5 833 50.33333333333333 201.66666666666666 1 0 0.5450180072028812 0.5450180072028812
 4 923 53.25 198.5 2 0 0.6294691224268689 0.6294691224268689
 6 1097 46.0 197.0 2 0 0.6882406563354604 0.6882406563354604
 9 0 0 0 2 1 0 0
 7 1289 48.666666666666664 187.0 33 1 0.6439100077579519 0.6439100077579519
 8 1760 52.0 246.7142857142857 64 1 0.7744318181818182 0.7744318181818182
 3 2220 192.0 468.625 66 1 0.9968468468468469 0.9968468468468469
 10 3464 273.0 657.1111111111111 66 1 0.9979792147806005 0.9979792147806005
 10 3464 273.0 657.1111111111111 66 1 0.9979792147806005 0.9979792147806005
