 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 1 248 0.0 241.0 0 0 0.9717741935483871 0.9717741935483871
 2 399 80.0 276.0 0 0 0.9824561403508771 0.9824561403508771
 5 0 0 0 0 1 0 0
 4 861 53.33333333333333 226.33333333333331 0 1 0.6027874564459931 0.6027874564459931
 6 1080 40.0 213.25 0 1 0.6416666666666667 0.6416666666666667
 7 1227 32.0 185.60000000000002 0 1 0.6259168704156479 0.6259168704156479
 9 1393 34.33333333333333 190.0 0 1 0.6704953338119167 0.6704953338119167
 8 2012 75.71428571428571 285.2857142857143 43 1 0.7291252485089463 0.7291252485089463
 3 2324 225.75 515.375 89 1 0.9969879518072289 0.9969879518072289
 10 3568 314.55555555555554 710.2222222222222 89 1 0.9980381165919282 0.9980381165919282
 10 3568 314.55555555555554 710.2222222222222 89 1 0.9980381165919282 0.9980381165919282
