 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 478 239.0 390.0 21 0 0.3158995815899582 0.3158995815899582
 4 0 0 0 21 1 0 0
 5 0 0 0 21 2 0 0
 6 0 0 0 21 3 0 0
 1 916 453.5 649.5 101 3 0.4279475982532751 0.4279475982532751
 9 0 0 0 101 4 0 0
 3 1249 369.3333333333333 783.3333333333333 202 4 0.9943955164131305 0.9943955164131305
 7 1324 301.25 630.5 202 4 0.9947129909365559 0.9947129909365559
 8 1857 274.8 644.8000000000001 202 4 0.996230479267636 0.996230479267636
 10 3101 322.0 837.6666666666666 202 4 0.9977426636568849 0.9977426636568849
 10 3101 322.0 837.6666666666666 202 4 0.9977426636568849 0.9977426636568849
