 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 361 122.0 273.0 61 0 0.4182825484764543 0.4182825484764543
 1 399 136.5 332.5 123 0 0.9824561403508771 0.9824561403508771
 5 833 91.0 242.33333333333331 123 0 0.5450180072028812 0.5450180072028812
 4 923 83.75 229.0 124 0 0.6294691224268689 0.6294691224268689
 6 1097 70.4 221.4 124 0 0.6882406563354604 0.6882406563354604
 7 1227 58.666666666666664 197.0 124 0 0.6764466177669112 0.6764466177669112
 10 0 0 0 124 1 0 0
 9 1393 56.857142857142854 199.14285714285714 124 1 0.7150035893754487 0.7150035893754487
 8 2074 98.0 289.125 198 1 0.7372227579556413 0.7372227579556413
 3 2386 235.77777777777777 500.1111111111111 274 1 0.9970662196144174 0.9970662196144174
 3 2386 235.77777777777777 500.1111111111111 274 1 0.9970662196144174 0.9970662196144174
