 job_id  cmax  Mean_waiting_time  Mean_turnaround_time  Number_of_interruptions  Number_of_rejections Competitive_factor Utilization
 2 599 360.0 511.0 101 0 0.25208681135225375 0.25208681135225375
 1 675 393.5 589.5 182 0 0.5807407407407408 0.5807407407407408
 4 0 0 0 182 1 0 0
 5 0 0 0 182 2 0 0
 7 0 0 0 182 3 0 0
 3 1249 329.3333333333333 743.3333333333333 242 3 0.9943955164131305 0.9943955164131305
 10 0 0 0 242 4 0 0
 6 1511 354.75 708.75 286 4 0.9371277299801456 0.9371277299801456
 9 1589 332.20000000000005 648.6 330 4 0.9955947136563876 0.9955947136563876
 8 2122 349.16666666666663 701.6666666666666 330 4 0.9967012252591895 0.9967012252591895
 8 2122 349.16666666666663 701.6666666666666 330 4 0.9967012252591895 0.9967012252591895
